"Members – Detailed Contract Expenditures Report – Blair, Bill – Q2 2021"
Supplier,Description,Date,Total
FlagsImporter.com,Pins and Flags,2020/05/27,1002.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,16.7900
Canada Post,Courier Services,2020/06/05,11.6900
1730943 Ontario LTD O/A CLUB INK,Constituency Office Reconfigurations and Fixtures (COVID19),2020/06/10,4329.0000
Bluffs Monitor,Advertising,2020/06/16,135.0000
Home Depot,Cleaning Products,2020/06/16,23.2000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,69.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,224.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.5300
"NGPVAN ",Professional Communication Services,2020/07/01,100.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,29.7500
House of Commons – Chambre des communes,Householders – Paper Recovery,2020/07/14,30.0400
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,45.8200
1606555 Ontario Inc,Office Rental and Related Fees,2020/08/01,2700.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,224.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,157.5300
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,25.5000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.0400
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/08/24,2.7600
1606555 Ontario Inc,Office Rental and Related Fees,2020/09/01,2700.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,101.2300
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,224.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.0600
Canada Post – Postes Canada,Courier Services,2020/09/23,15.4400
Canada Post – Postes Canada,Courier Services,2020/09/30,49.6900
1606555 Ontario Inc,Office Rental and Related Fees,2020/10/01,2700.0000
