"Members – Detailed Contract Expenditures Report – Shin, Nelly – Q2 2021"
Supplier,Description,Date,Total
DANADA HOLDINGS LTD.,Office Rental and Related Fees,2020/03/01,40.0000
DANADA HOLDINGS LTD.,Office Rental and Related Fees,2020/04/01,40.0000
Glacier Media Group,Advertising,2020/04/30,534.9300
Canadian Tire,Cleaning Products,2020/05/01,21.3600
DANADA HOLDINGS LTD.,Office Rental and Related Fees,2020/05/01,40.0000
London Drugs,"Office Supplies, Stationery and Accessories",2020/05/01,83.4300
The Korea Times Limited,Advertising,2020/05/01,600.0000
London Drugs,"Office Supplies, Stationery and Accessories",2020/05/02,10.6900
Staples,"Office Supplies, Stationery and Accessories",2020/05/19,53.4900
Staples,"Office Supplies, Stationery and Accessories",2020/05/22,80.7600
Safeway,Gifts given as a matter of protocol,2020/05/25,19.2500
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.8100
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.1800
Sing Tao Newspaper,Advertising,2020/05/28,120.0000
DANADA HOLDINGS LTD.,Office Rental and Related Fees,2020/06/01,40.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,16.7900
Minuteman Press,Constituency Mail,2020/06/02,1353.5500
Ming Pao Daily News,Advertising,2020/06/03,120.0000
Shaw,Cable and Internet,2020/06/03,166.9200
Winners,"Office Supplies, Stationery and Accessories",2020/06/07,12.9800
Zoom,Licence Renewal,2020/06/11,60.0000
Zoom,Licence Renewal,2020/06/12,186.0000
Precision Locksmithing,Janitorial Services and Maintenance,2020/06/15,147.1900
Glacier Media Group,Advertising,2020/06/16,495.0000
Glacier Media Group,Advertising,2020/06/30,612.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,166.7200
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,12.0000
DANADA HOLDINGS LTD.,Office Rental and Related Fees,2020/07/01,40.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,16.7900
"Korea Daily ",Advertising,2020/07/03,119.0500
Shaw,Cable and Internet Fees,2020/07/03,166.9200
BC Hydro,Public Utilities,2020/07/09,148.7300
Zoom,Licence Renewal,2020/07/11,60.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,125.4900
London Drugs,Computer Equipment,2020/07/16,43.1600
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,1.8700
Today's Money,Advertising,2020/07/20,125.0000
Walmart,"Office Supplies, Stationery and Accessories",2020/07/20,21.9800
Frans Flowers,Gifts given as a matter of protocol,2020/07/21,17.9200
Port Moody Heritage Society,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/21,136.5000
Safeway,Gifts given as a matter of protocol,2020/07/22,51.3100
Botanie Valley Productions Inc.,Professional Communication Services,2020/07/31,1950.0000
Grand & Toy,Office Equipment,2020/07/31,179.9800
House of Commons – Chambre des communes,Language Training,2020/07/31,51.9100
ULINE CANADA CORPORATION,"Office Supplies, Stationery and Accessories",2020/07/31,355.9700
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,10.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,166.7200
DANADA HOLDINGS LTD.,Office Rental and Related Fees,2020/08/01,2805.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,16.7900
Artisan Gifts and Flower,Office Furniture and Fixtures,2020/08/02,32.1000
Shaw Direct,Cable and Internet Fees,2020/08/03,166.9200
Staples,"Office Supplies, Stationery and Accessories",2020/08/06,44.0500
The Canadian Pacific Store,Gifts given as a matter of protocol,2020/08/06,49.9000
Safeway,Gifts given as a matter of protocol,2020/08/08,12.9900
Safeway,Gifts given as a matter of protocol,2020/08/08,50.0000
Staples,External Printing Costs,2020/08/08,72.6000
EBS Book Store,"Printed Matter, Books, Newspapers and Subscriptions",2020/08/11,43.1300
Artisan Gifts and Flowers,"Printed Matter, Books, Newspapers and Subscriptions",2020/08/13,32.1000
MCC Centre Thrift,"Printed Matter, Books, Newspapers and Subscriptions",2020/08/15,8.0000
Canada Computers,Toner,2020/08/16,61.9400
Ikea,"Office Supplies, Stationery and Accessories",2020/08/16,32.0800
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,204.4800
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,10.0000
DANADA HOLDINGS LTD.,Office Rental and Related Fees,2020/09/01,2805.0000
505 Junk,Janitorial Services and Maintenance,2020/09/02,354.2000
Shaw Direct,Cable and Internet Fees,2020/09/03,166.9200
Canada Post – Postes Canada,Courier Services,2020/09/23,70.9700
Canada Post – Postes Canada,Courier Services,2020/09/23,31.4600
Canada Post – Postes Canada,Courier Services,2020/09/23,19.0700
DANADA HOLDINGS LTD.,Office Rental and Related Fees,2020/10/01,2805.0000
