"Members – Detailed Contract Expenditures Report – LeBlanc, Dominic – Q2 2021"
Supplier,Description,Date,Total
Vidéotron,Internet (COVID19),2020/04/10,54.9300
Rogers,Cable and Internet Fees,2020/04/28,74.7200
Vidéotron,Internet (COVID19),2020/05/08,57.4000
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,1054.0600
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,15.9000
Rogers,Cable and Internet Fees,2020/05/28,77.3000
Bell Aliant,Cable and Internet Fees,2020/06/03,99.9500
Vidéotron,Internet (COVID19),2020/06/05,58.0100
BRUNSWICK NEWS INC.,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/16,239.8800
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
BRUNSWICK NEWS,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/17,12.6400
Bell Aliant,Cable and Internet,2020/06/24,108.4000
CANADIAN TIRE,"Office Supplies, Stationery and Accessories",2020/06/26,58.3500
Toner Realty Ltd.,Advertising,2020/06/26,770.0000
"MCGRAW, JEAN-PAUL",Janitorial Services and Maintenance,2020/06/30,360.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,234.1200
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,24.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.5300
IGA,Cleaning Products,2020/07/02,4.3000
Bell Aliant,Cable and Internet Fees,2020/07/03,99.9500
IGA,"Office Supplies, Stationery and Accessories",2020/07/07,8.3800
Apple,"Office Supplies, Stationery and Accessories",2020/07/10,25.0000
STAPLES CANADA,"Office Supplies, Stationery and Accessories",2020/07/13,75.1700
Denis Office Supplies – Fournitures de bureau Denis,"Office Supplies, Stationery and Accessories",2020/07/14,139.8800
STAPLES,"Office Supplies, Stationery and Accessories",2020/07/14,32.9900
CANADA POST,Postage and Parcel Post,2020/07/16,12.6800
CANADA POST,Postage and Parcel Post,2020/07/16,20.8500
BRUNSWICK NEWS INC.,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/17,12.6400
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.1700
ADD ON SOUND & SECURITY SYSTEMS INC.,Repair of Office Equipment,2020/07/22,84.7400
XEROX CANADA LTD.,Photocopier Rental and Related Costs,2020/07/22,67.9600
Bell Aliant,Cable and Internet,2020/07/24,108.4000
Toner Realty Ltd.,Advertising,2020/07/24,770.0000
RADIO BEAUSÉJOUR INC.,Advertising,2020/07/28,360.0000
"MCGRAW, JEAN-PAUL",Janitorial Services and Maintenance,2020/07/31,450.0000
NORTON LIFE LOCK,Licence Renewal,2020/07/31,80.4900
ARMSTRONG'S COMMUNICATION LTD.,Protection and Alarm Monitoring (Member's Office Budget),2020/08/01,45.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,194.1200
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,12.0000
LRL Property Investments Inc,Office Rental and Related Fees,2020/08/01,2000.0000
CRYSTAL CLEAR WATER,Spring Water,2020/08/12,30.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.0500
BRUNSWICK NEWS INC.,"Printed Matter, Books, Newspapers and Subscriptions",2020/08/19,12.6400
Denis Office Supplies – Fournitures de bureau Denis,"Office Supplies, Stationery and Accessories",2020/08/20,140.4200
House of Commons – Chambre des communes,Other Chemical Products,2020/08/20,49.0000
IVANS CAMERA,"Office Supplies, Stationery and Accessories",2020/08/26,29.9900
"MCGRAW, JEAN-PAUL",Janitorial Services and Maintenance,2020/08/31,360.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,194.1200
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,8.0000
LRL Property Investments Inc,Office Rental and Related Fees,2020/09/01,2000.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.0600
Canada Post – Postes Canada,Courier Services,2020/09/23,113.6300
Canada Post – Postes Canada,Courier Services,2020/09/23,10.5700
LRL Property Investments Inc,Office Rental and Related Fees,2020/10/01,2000.0000
