"Members – Detailed Contract Expenditures Report – Zann, Lenore – Q2 2021"
Supplier,Description,Date,Total
Bell Aliant,Cable and Internet Fees,2020/05/03,77.95
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,12.72
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,843.24
"Curwin, Lynn",Communications Officer,2020/05/31,900.00
Allnovascotia,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/01,30.00
Parrsboro Radio Society,Advertising,2020/06/02,200.00
Bell Aliant,Cable and Internet Fees,2020/06/03,78.40
Canada Post,Postage and Parcel Post,2020/06/08,12.68
Denis Office Supplies – Fournitures de bureau Denis,"Office Supplies, Stationery and Accessories",2020/06/08,52.26
ASE Print,Consumable Items for Constituency Offices (COVID19),2020/06/10,14.94
City Wide Communications,Internet (COVID19),2020/06/11,74.95
MacQuarries Pharmasave,Consumable Items for Constituency Offices (COVID19),2020/06/11,29.98
Costco Wholesale,Consumable Items for Constituency Offices (COVID19),2020/06/15,57.98
Halifax Examiner,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/15,100.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.39
EASTLINK,Cable and Internet Fees,2020/06/24,79.95
SALTWIRE NETWORK INC.,Advertising,2020/06/27,350.00
Bell Media Radio Atlantic,Advertising,2020/06/28,274.56
Bell Media Radio Atlantic Inc.,Advertising,2020/06/28,274.56
"SHORELINE JOURNAL, THE",Advertising,2020/06/30,110.25
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,94.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,2.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.52
Parrsboro Radio Society,Advertising,2020/07/01,200.00
"All Nova Scotia ","Printed Matter, Books, Newspapers and Subscriptions",2020/07/02,30.00
allnovascotia,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/02,30.00
Amazon,"Office Supplies, Stationery and Accessories",2020/07/02,18.74
"Works, Lynn",Janitorial Services and Maintenance,2020/07/02,120.00
Amazon,"Office Supplies, Stationery and Accessories",2020/07/03,17.99
Bell Aliant,Cable and Internet Fees,2020/07/03,78.85
Denis Office Supplies – Fournitures de bureau Denis,"Office Supplies, Stationery and Accessories",2020/07/06,64.27
Denis Office Supplies – Fournitures de bureau Denis,Constituency Office Reconfigurations and Fixtures (COVID19),2020/07/07,699.90
Denis Office Supplies – Fournitures de bureau Denis,"Office Supplies, Stationery and Accessories",2020/07/07,288.30
Denis Office Supplies – Fournitures de bureau Denis,"Office Supplies, Stationery and Accessories",2020/07/08,118.05
City Wide Communications,Internet (COVID19),2020/07/11,74.95
"Curwin, Lynn",Communications Officer,2020/07/12,900.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,44.01
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.08
Advocate Printing & Publishing,"Householders ",2020/07/20,4930.00
EASTLINK,Cable and Internet Fees,2020/07/24,79.95
The Flag Shop,Pins and Flags,2020/07/24,65.95
Bell Media Radio Atlantic Inc,Advertising,2020/07/26,274.56
Bell Media Radio Atlantic Inc,Advertising,2020/07/26,274.56
"SHORELINE JOURNAL, THE",Advertising,2020/07/29,110.25
High Tech Maintenance,Janitorial Services and Maintenance,2020/07/31,120.00
