"Members – Detailed Contract Expenditures Report – Chiu, Kenny – Q2 2021"
Supplier,Description,Date,Total
Horseshoe Press Inc,Householders,2020/05/19,5498.00
Walmart,"Office Supplies, Stationery and Accessories",2020/05/29,39.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,148.25
Save-On-Foods,"Office Supplies, Stationery and Accessories",2020/06/01,7.48
Canada Post,Postage and Parcel Post,2020/06/04,16.70
PACIFIC DOOR CLOSER SERVICE LTD.,Repair of Office Equipment,2020/06/04,177.76
Shaw Business,Cable and Internet Fees,2020/06/05,96.30
Save-On-Foods,Cleaning Products,2020/06/16,5.20
BC Hydro,Public Utilities,2020/06/19,106.74
PHILIPPINE ASIAN NEWS TODAY,Advertising,2020/06/20,30.89
Amazon.ca,"Office Supplies, Stationery and Accessories",2020/06/24,31.24
Amazon.ca,Photographic Equipment,2020/06/24,55.43
Mr. Handyman of Richmond and Delta,Constituency Office Reconfigurations and Fixtures (COVID19),2020/06/26,747.49
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,112.68
LMP Publication Limited Partnership,Advertising,2020/06/30,375.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,30.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,146.25
Flowmarq Creative Inc,Communications Officer,2020/07/02,2290.10
Costco Wholesale,Consumable Items for Constituency Offices (COVID19),2020/07/04,39.56
Shaw Business,Cable and Internet Fees,2020/07/05,96.30
Amazon.ca,"Office Supplies, Stationery and Accessories",2020/07/08,65.98
Shen Zhen Shi Kai Zhen Ke Ji You Xian Gong Si,Toner,2020/07/10,49.50
Covve Visual Network Ltd.,Computer Software,2020/07/13,12.99
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,3.93
Amazon,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/14,32.62
Amazon,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/14,26.12
Canada Post,Postage and Parcel Post,2020/07/17,1.30
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,1.08
DMAC Technologies,"Office Supplies, Stationery and Accessories",2020/07/20,5.34
Palla Media,Advertising,2020/07/22,365.00
Steveston Pure Water,Spring Water,2020/07/23,33.00
Costco,"Office Supplies, Stationery and Accessories",2020/07/24,19.99
Mr. Handyman of Richmond and Delta,Constituency Office Reconfigurations and Fixtures (COVID19),2020/07/24,1436.15
Amazon.ca,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/28,30.69
Amazon.ca,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/28,37.62
"GoDaddy Domains Canada, Inc.",Web Site Hosting/Domain Name,2020/07/29,68.94
Amazaon.ca,Toner,2020/07/31,35.99
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,8.82
Grand & Toy,Cleaning Products,2020/07/31,13.74
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,10.17
Grand & Toy,Other Consumable Supplies From Stores,2020/07/31,21.82
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,30.00
C C M Growth Inc.,Office Rental and Related Fees,2020/08/01,3406.43
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,146.25
Wix.com,Licence Renewal,2020/08/04,179.09
Flowmarq Creative Inc,Communications Officer,2020/08/05,850.00
Shaw Business,Cable and Internet Fees,2020/08/05,96.30
0826193 B.C LTD,Advertising,2020/08/06,63.38
Amazon.ca,"Printed Matter, Books, Newspapers and Subscriptions",2020/08/07,39.55
BC Hydro,Public Utilities,2020/08/20,129.75
Canada Post – Postes Canada,Postage and Parcel Post,2020/08/20,93.30
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,30.00
C C M Growth Inc.,Office Rental and Related Fees,2020/09/01,3406.43
Flowmarq Creative Inc,Communications Officer,2020/09/02,935.00
Services Informatiques D.L. Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/09/09,52.00
MING PAO NEWSPAPERS (CANADA) LTD,Advertising,2020/09/15,150.00
MING PAO NEWSPAPERS (CANADA) LTD,Advertising,2020/09/15,216.00
Canada Post – Postes Canada,Courier Services,2020/09/23,27.59
Canada Post – Postes Canada,Courier Services,2020/09/23,8.32
C C M Growth Inc.,Office Rental and Related Fees,2020/10/01,3406.43
