"Members – Detailed Contract Expenditures Report – Gould, Karina – Q2 2021"
Supplier,Description,Date,Total
SNAPD BURLINGTON,Advertising,2020/04/01,295.0000
The Globe and Mail,"Printed Matter, Books, Newspapers and Subscriptions",2020/04/25,7.9600
Dropbox Inc.,Licence Renewal,2020/04/29,99.0000
TD Canada Bank,Banking Fees and Cheque Orders,2020/04/30,16.9500
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.8100
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.1800
Dropbox Inc.,Licence Renewal,2020/05/29,99.0000
TD Canada Bank,Banking Fees and Cheque Orders,2020/05/29,16.9500
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,16.7900
"Burlington Hydro ",Public Utilities,2020/06/04,111.6500
Sky Pixel,Advertising,2020/06/11,275.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
Bramur Plastics,Constituency Office Reconfigurations and Fixtures (COVID19),2020/06/19,587.5000
Sky Pixel,Advertising,2020/06/19,275.0000
A Different Drummer Books,Gifts given as a matter of protocol,2020/06/24,149.9400
Paroisse Saint-Philippe,Advertising,2020/06/24,360.0000
BEATTIES,Constituency Office Reconfigurations and Fixtures (COVID19),2020/06/25,250.0000
Sky Pixel,Advertising,2020/06/26,275.0000
Zoom Video Communications Inc,Licence Renewal,2020/06/26,20.0000
Star Metroland Media,Advertising,2020/06/28,199.6600
Dropbox Inc.,Licence Renewal,2020/06/29,99.0000
A3H Imaging Inc.,"Householders ",2020/06/30,7997.0000
Grand & Toy,Cleaning Products,2020/06/30,84.8500
TD Canada Bank,Banking Fees and Cheque Orders,2020/06/30,16.9500
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,26.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,160.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.5300
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,25.5000
SNAPD BURLINGTON,Advertising,2020/07/01,231.6600
Sky Pixel,Advertising,2020/07/03,275.0000
BLUE-PENCIL Business Services Inc,Shredding,2020/07/06,69.4600
Cogeco Connexion inc.,Cable and Internet Fees,2020/07/06,239.9500
