"Members – Detailed Contract Expenditures Report – Easter, Wayne – Q2 2021"
Supplier,Description,Date,Total
technomedia,Web Site Hosting/Domain Name,2020/04/14,90.00
Konica Minolta,Photocopier Rental and Related Costs,2020/05/16,787.50
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.39
Maritime electric,Public Utilities,2020/06/19,121.58
SALTWIRE NETWORK INC.,Advertising,2020/06/20,371.25
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/06/23,97.44
Bell Aliant,Monthly Phone Service,2020/06/24,78.75
PEI MUTUAL INSURANCE COMPANY,Constituency Office Insurance,2020/06/24,433.00
Grand & Toy,Cleaning Products,2020/06/30,15.82
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,175.80
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,53.90
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.53
EASTLINK,Cable and Internet Fees,2020/07/03,199.95
EASTLINK,Cable and Internet Fees,2020/07/10,83.32
Island pure waters,Spring Water,2020/07/13,22.50
hunter river pharmacy,Cleaning Products,2020/07/16,17.95
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.16
maritime electric,Public Utilities,2020/07/22,153.93
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/07/22,54.08
Bellaliant,Monthly Phone Service,2020/07/24,79.39
Apple Canada Inc.,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/27,54.99
Grand & Toy,Other Consumable Supplies From Stores,2020/07/31,16.82
Grand & Toy,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/07/31,15.69
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,153.40
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,68.00
"PARKMAN, DEBRA",Office Rental and Related Fees,2020/08/01,1200.00
EASTLINK,Cable and Internet Fees,2020/08/03,199.95
EASTLINK,Cable and Internet Fees,2020/08/10,83.32
Hunter River Pharmacy,"Office Supplies, Stationery and Accessories",2020/08/10,12.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.04
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/08/13,127.45
Evernote,"Printed Matter, Books, Newspapers and Subscriptions",2020/08/14,67.49
Staples Canada,"Office Supplies, Stationery and Accessories",2020/08/14,15.38
Konica Minolta,Photocopier Rental and Related Costs,2020/08/16,851.28
maritime Electric,Public Utilities,2020/08/21,155.68
Bell aliant,Monthly Phone Service,2020/08/24,78.75
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/08/24,244.80
Staples,"Office Supplies, Stationery and Accessories",2020/08/29,11.98
Konica Minolta,Photocopier Rental and Related Costs,2020/08/31,226.28
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,153.40
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,127.71
hunter River pharmacy,Cleaning Products,2020/09/01,27.65
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.06
"PARKMAN, DEBRA",Office Rental and Related Fees,2020/09/01,1200.00
EASTLINK,Cable and Internet Fees,2020/09/03,199.95
Circle K,"Office Supplies, Stationery and Accessories",2020/09/09,14.99
Circle K,"Office Supplies, Stationery and Accessories",2020/09/09,14.99
Island Press Ltd,Advertising,2020/09/16,324.16
hunter river pharmacy,"Office Supplies, Stationery and Accessories",2020/09/17,42.98
EASTLINK,Cable and Internet,2020/09/18,83.32
Canada Post – Postes Canada,Courier Services,2020/09/23,46.39
Canada Post – Postes Canada,Courier Services,2020/09/23,24.22
Canada Post – Postes Canada,Courier Services,2020/09/23,16.47
Canada Post – Postes Canada,Courier Services,2020/09/23,26.87
Canada Post – Postes Canada,Courier Services,2020/09/23,19.38
Canada Post – Postes Canada,Courier Services,2020/09/23,19.48
Canada Post – Postes Canada,Courier Services,2020/09/23,10.57
"PARKMAN, DEBRA",Office Rental and Related Fees,2020/10/01,1200.00
