"Members – Detailed Contract Expenditures Report – Vandenbeld, Anita – Q2 2021"
Supplier,Description,Date,Total
GROUPE CAPITALES MEDIAS,Advertising,2020/03/14,91.63
SINIX PRINTING CANADA,"Householders ",2020/04/27,6775.00
Arab Canada Newspaper,Advertising,2020/05/15,250.00
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.81
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.18
Ultimate Commercial Cleaning,Janitorial Services and Maintenance,2020/05/31,300.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,114.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.39
OneStream,Licence Renewal,2020/06/23,93.59
Enbridge,Public Utilities,2020/06/30,72.68
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,128.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,10.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.52
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,113.79
Henderson Security,Protection and Alarm Monitoring (Member's Office Budget),2020/07/09,89.97
Rogers,Cable and Internet Fees,2020/07/10,160.99
Zoom,Licence Renewal,2020/07/14,20.00
Arab Canada Newspaper,Advertising,2020/07/15,250.00
Gzowski Films,Photography and Video Services,2020/07/17,1000.00
HYDRO OTTAWA,Public Utilities,2020/07/17,5.98
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,1.35
OneStream,Licence Renewal,2020/07/23,94.96
ENBRIDGE GAS DISTRIBUTION INC.,Public Utilities,2020/07/30,76.33
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,10.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,128.00
Look Property Management,Office Rental and Related Fees,2020/08/01,2493.23
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,123.54
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.05
HYDRO OTTAWA,Constit Office Lease Deposit,2020/08/19,80.63
OneStream,Licence Renewal,2020/08/23,95.97
Bell Mobility – Bell Mobilité,Voice and data roaming fees for mobile devices,2020/09/01,25.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,8.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,128.00
Look Property Management,Office Rental and Related Fees,2020/09/01,2493.23
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.05
Canada Post – Postes Canada,Courier Services,2020/09/23,18.13
Look Property Management,Office Rental and Related Fees,2020/10/01,2493.23
