"Members – Detailed Contract Expenditures Report – Hutchings, Gudie – Q2 2021"
Supplier,Description,Date,Total
SALTWIRE NETWORK INC.,Advertising,2020/03/07,185.00
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,12.72
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,843.24
Deer Lake Regional Airport Authority inc.,Advertising,2020/06/01,2250.00
Bell Aliant,Cable and Internet Fees,2020/06/03,418.85
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.39
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/06/23,40.92
Staples Canada,Toner,2020/06/27,92.99
Grand & Toy,Cleaning Products,2020/06/30,31.89
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,44.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,299.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.53
Bell Aliant,Cable and Internet Fees,2020/07/03,418.85
Bell,Internet (COVID19),2020/07/11,60.95
Canada Post – Postes Canada,Postage and Parcel Post,2020/07/13,108.92
DRL,Courier Services,2020/07/13,25.00
DRL,Courier Services,2020/07/13,25.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,416.16
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.28
"Digital Outdoor Media, Inc",Advertising,2020/07/20,550.00
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/07/21,2010.00
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/07/22,28.24
Digital Advertising Solutions,Advertising,2020/07/31,1467.00
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,299.94
Grand & Toy,"Freight, Express and Cartage",2020/07/31,10.50
Pafford Glass and Aluminum (2017) Ltd.,Constituency Office Reconfigurations and Fixtures (COVID19),2020/07/31,1235.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,85.34
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,299.00
BEYOND THE PALE INC,Office Rental and Related Fees,2020/08/01,1769.91
Byrnes Shoes & Sportswear Ltd,Office Rental and Related Fees,2020/08/01,900.00
SFP ENTERPRISES LIMITED,Office Rental and Related Fees,2020/08/01,400.00
Bell Aliant,Cable and Internet Fees,2020/08/03,386.44
Bell,Internet (COVID19),2020/08/11,60.95
Byrnes Shoes & Sportswear Ltd,Advertising,2020/08/13,2830.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.05
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/08/24,2.04
PAB & AREA CHAMBER OF COMMERCE,Advertising,2020/08/28,240.00
Town of Stephenville,"Office Rentals, Taxes, Common Area Fees",2020/08/29,428.74
Digital Advertising Solutions,Advertising,2020/08/31,997.05
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,22.40
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,299.00
BEYOND THE PALE INC,Office Rental and Related Fees,2020/09/01,1769.91
Byrnes Shoes & Sportswear Ltd,Office Rental and Related Fees,2020/09/01,900.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.06
SFP ENTERPRISES LIMITED,Office Rental and Related Fees,2020/09/01,400.00
Bell Aliant,Cable and Internet Fees,2020/09/03,421.10
Coastal Glass Inc.,Constituency Office Reconfigurations and Fixtures (COVID19),2020/09/03,1425.00
Pafford Glass and Aluminum (2017) Ltd.,Cleaning Products,2020/09/10,20.00
Scott`s Autobody & Repairs Ltd.,Constituency Office Reconfigurations and Fixtures (COVID19),2020/09/11,450.00
Canada Post – Postes Canada,Courier Services,2020/09/23,41.61
Shears Building Supplies Ltd,Office Furniture and Fixtures,2020/09/23,79.47
Canada Post – Postes Canada,Postage and Parcel Post,2020/09/25,16.91
Canada Post – Postes Canada,Postage and Parcel Post,2020/09/30,59.88
BEYOND THE PALE INC,Office Rental and Related Fees,2020/10/01,1769.91
Byrnes Shoes & Sportswear Ltd,Office Rental and Related Fees,2020/10/01,900.00
SFP ENTERPRISES LIMITED,Office Rental and Related Fees,2020/10/01,400.00
