"Members – Detailed Contract Expenditures Report – Richards, Blake – Q2 2021"
Supplier,Description,Date,Total
Shaw Direct,Internet (COVID19),2020/04/03,80.00
Bank of Montreal – Banque de Montréal,Banking Fees and Cheque Orders,2020/04/30,4.00
Shaw Direct,Internet (COVID19),2020/05/03,80.00
Bank of Montreal – Banque de Montréal,Banking Fees and Cheque Orders,2020/05/29,4.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,185.29
Shaw Direct,Internet (COVID19),2020/06/03,80.00
MOUNTAIN VIEW PRINTING & GRAPHICS LTD.,Constituency Mail,2020/06/09,6579.01
Shaw Direct,Cable and Internet Fees,2020/06/19,186.95
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/06/23,26.76
4 Office Automation Ltd.,Photocopier Rental and Related Costs,2020/06/29,7.74
Bank of Montreal – Banque de Montréal,Banking Fees and Cheque Orders,2020/06/30,4.00
Grand & Toy,Digital Communication Equipment,2020/06/30,27.55
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,254.20
Grand & Toy,Bulk Paper Purchases,2020/06/30,89.40
Amazon,Photographic Equipment,2020/07/01,69.99
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,200.29
Janice Maxwell,Janitorial Services and Maintenance,2020/07/05,180.00
Bank of Montreal – Banque de Montréal,Banking Fees and Cheque Orders,2020/07/08,69.36
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,271.53
Great West Newspapers,Advertising,2020/07/16,425.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.66
Shaw Direct,Cable and Internet Fees,2020/07/19,186.95
Shoppers Drug Mart,"Office Supplies, Stationery and Accessories",2020/07/20,16.98
Walmart,"Office Supplies, Stationery and Accessories",2020/07/20,50.48
MOUNTAIN VIEW PRINTING & GRAPHICS LTD.,Householders,2020/07/21,7273.10
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/07/22,40.02
Janice Maxwell,Janitorial Services and Maintenance,2020/07/26,180.00
Bank of Montreal – Banque de Montréal,Banking Fees and Cheque Orders,2020/07/31,4.00
4297378 MANITOBA LTD,Office Rental and Related Fees,2020/08/01,3280.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,259.54
Enviroshred Inc.,Shredding,2020/08/04,162.00
On The Go Screens,Office Equipment,2020/08/12,119.99
Coast Canmore Hotel & Conference Centre,Public Meeting Room Rentals,2020/08/15,200.00
Shaw Direct,Cable and Internet Fees,2020/08/19,186.95
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/08/24,32.50
Janice Maxwell,Janitorial Services and Maintenance,2020/08/30,225.00
4297378 MANITOBA LTD,Office Rental and Related Fees,2020/09/01,3280.00
Michaels,"Framing, Outside Supplier",2020/09/04,304.00
Sobeys,"Office Supplies, Stationery and Accessories",2020/09/09,21.48
Canada Post – Postes Canada,Courier Services,2020/09/23,14.77
Canada Post – Postes Canada,Courier Services,2020/09/23,23.58
Canada Post – Postes Canada,Courier Services,2020/09/23,87.04
Canada Post – Postes Canada,Courier Services,2020/09/23,10.43
Canada Post – Postes Canada,Courier Services,2020/09/23,15.06
Canada Post – Postes Canada,Courier Services,2020/09/23,14.77
Canada Post – Postes Canada,Courier Services,2020/09/23,12.22
Canada Post – Postes Canada,Courier Services,2020/09/23,16.51
Canada Post – Postes Canada,Courier Services,2020/09/30,48.18
4297378 MANITOBA LTD,Office Rental and Related Fees,2020/10/01,3280.00
