"Members – Detailed Contract Expenditures Report – Vaughan, Adam – Q2 2021"
Supplier,Description,Date,Total
Choice Communication (Canada) Ltd.,Advertising,2020/05/23,180.84
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.81
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.18
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,211.79
"Bell Canada ",Cable and Internet Fees,2020/06/13,125.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.39
NGP VAN,Professional Communication Services,2020/07/01,100.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.52
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,210.94
"Bell Canada ",Cable and Internet Fees,2020/07/13,125.71
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.27
2446695 Ontario Inc.,Office Rental and Related Fees,2020/08/01,2600.00
NGP VAN,Professional Communication Services,2020/08/01,100.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,298.79
"Bell Canada ",Cable and Internet Fees,2020/08/13,125.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.05
2446695 Ontario Inc.,Office Rental and Related Fees,2020/09/01,2600.00
NGP VAN,Professional Communication Services,2020/09/01,100.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.05
Canada Post – Postes Canada,Courier Services,2020/09/23,8.06
Canada Post – Postes Canada,Courier Services,2020/09/23,9.91
Canada Post – Postes Canada,Courier Services,2020/09/23,9.76
Canada Post – Postes Canada,Courier Services,2020/09/30,6.31
2446695 Ontario Inc.,Office Rental and Related Fees,2020/10/01,2600.00
