"Members – Detailed Contract Expenditures Report – McKenna, Catherine – Q2 2021"
Supplier,Description,Date,Total
African Canadian Ass. of Ottawa,Advertising,2020/03/05,100.0000
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.8100
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.1800
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,16.7900
Bed Bath and Beyond,"Framing, Outside Supplier",2020/06/04,22.9900
Arab Canada Newspaper,Advertising,2020/06/15,150.0000
Apple Canada Inc.,Repair of Telecommunication Equipment,2020/06/16,169.0000
Bell Mobility – Bell Mobilité,Voice Communication Equipment,2020/06/16,81.0500
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2020/06/16,52.4900
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
Apple,Licence Renewal,2020/06/19,299.0000
Centretown Buzz,Advertising,2020/06/19,120.0000
Bed Bath & Beyond,"Framing, Outside Supplier",2020/06/22,22.9900
Enercare Connections,Public Utilities,2020/06/23,182.5900
SK&A Strategic Communications Inc,Communications Officer,2020/06/23,6290.0000
"Oscar, The",Advertising,2020/06/25,80.0000
Zoom Video Communications Inc.,Licence Renewal,2020/06/29,40.0000
CIBC,Banking Fees and Cheque Orders,2020/06/30,150.9700
Bell Mobility – Bell Mobilité,Long Distance,2020/07/01,0.9600
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,280.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,69.2000
NGP VAN,Professional Communication Services,2020/07/01,350.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.5300
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,16.7900
TekSavvy,Cable and Internet Fees,2020/07/04,85.9500
Great River Media Inc.,Advertising,2020/07/06,433.3300
"Merge Design, print & Promo",External Printing Costs,2020/07/06,357.0000
Canva Pty Ltd,Licence Renewal,2020/07/09,155.8800
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,4.2400
Zoom Video Communications Inc.,Licence Renewal,2020/07/14,20.0000
Arab Canada Newspaper,Advertising,2020/07/15,150.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,21.6500
Enercare Connections,Public Utilities,2020/07/23,243.0200
Zoom Video Communicaitons Inc.,Licence Renewal,2020/07/29,40.0000
CIBC,Banking Fees and Cheque Orders,2020/07/31,51.0000
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,74.4100
Grand & Toy,Bulk Paper Purchases,2020/07/31,10.8400
Grand & Toy,Cleaning Products,2020/07/31,31.4700
Bell Mobility – Bell Mobilité,Long Distance,2020/08/01,1.4700
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,42.8000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,220.0000
CENTRETOWN CITIZENS OTTAWA CORPORATION,Office Rental and Related Fees,2020/08/01,2180.0000
NGP VAN,Professional Communication Services,2020/08/01,350.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,16.7900
Great River Media Inc.,Advertising,2020/08/03,650.0000
TekSavvy Solutions Inc.,Cable and Internet Fees,2020/08/04,85.9500
Lowblaws,Cleaning Products,2020/08/12,68.6400
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.0500
Pop Up Podcasting,Professional Communication Services,2020/08/13,113.0000
Glebe Report Association,Advertising,2020/08/14,230.0000
"Mainstreeter, The",Advertising,2020/08/14,121.0000
Redfish Graphics,Professional Communication Services,2020/08/19,1955.0000
SK&A Strategic Communications Inc,Communications Officer,2020/08/20,1200.0000
Enercare Connections,Public Utilities,2020/08/21,250.0800
MADD Canada,Advertising,2020/08/24,109.3700
Power of a Wish Magazine,Advertising,2020/08/24,103.1200
Ottawa Community Sport Media Team,Advertising,2020/08/26,88.4900
Apple Canada Inc.,Repair of Telecommunication Equipment,2020/08/27,338.0000
Zoom Video Communications Inc.,Licence Renewal,2020/08/29,40.0000
Grand & Toy,Bulk Paper Purchases,2020/08/31,43.3600
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,297.3300
Bell Mobility – Bell Mobilité,Long Distance,2020/09/01,3.3600
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,106.7200
CENTRETOWN CITIZENS OTTAWA CORPORATION,Office Rental and Related Fees,2020/09/01,2180.0000
Great River Media Inc.,Advertising,2020/09/01,650.0000
NGP VAN,Professional Communication Services,2020/09/01,350.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.0500
Tribute Center Store,Gifts given as a matter of protocol,2020/09/05,71.9500
CENTRETOWN CITIZENS OTTAWA CORPORATION,"Office Rentals, Taxes, Common Area Fees",2020/09/08,450.0000
"Oscar, The",Advertising,2020/09/08,80.0000
Glebe Report Association,Advertising,2020/09/11,230.0000
CENTRETOWN CITIZENS OTTAWA CORPORATION,Office Rental and Related Fees,2020/10/01,2180.0000
