"Members – Detailed Contract Expenditures Report – Dowdall, Terry – Q2 2021"
Supplier,Description,Date,Total
Zehrs,"Office Supplies, Stationery and Accessories",2020/04/01,32.4600
Water Depot,Spring Water,2020/04/15,11.0000
Water Depot,Spring Water,2020/05/05,14.2400
Alectra Utilities Corporation,Public Utilities,2020/05/13,104.5400
Dollarama,"Office Supplies, Stationery and Accessories",2020/05/18,22.3000
Sobeys,Consumable Items for Constituency Offices (COVID19),2020/05/18,16.0800
Shared Services Canada –  Services partagés Canada,Changes - Services and/or Equipment (Telemanagement) - Federal Government Departments,2020/05/25,450.4500
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,12.7200
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,843.2400
Walmart,"Office Supplies, Stationery and Accessories",2020/05/25,34.5500
Dollarama,"Office Supplies, Stationery and Accessories",2020/05/31,30.2500
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,46.7500
Water Depot,Spring Water,2020/06/01,7.4900
Alectra Utilities Corporation,Public Utilities,2020/06/11,111.6400
Walmart,Consumable Items for Constituency Offices (COVID19),2020/06/13,102.6800
"Weatherall, Matthew",Janitorial Services and Maintenance,2020/06/22,200.0000
"Weatherall, Matthew",Janitorial Services and Maintenance,2020/06/22,125.0000
Water Depot,Spring Water,2020/06/24,7.4900
Village Media Inc,Advertising,2020/06/26,500.0000
Corus Sales Inc.,Advertising,2020/06/28,560.0000
My Broadcasting Corp.,Advertising,2020/06/28,800.0000
Star Metroland Media,Advertising,2020/06/28,877.0000
Rogers,Cable and Internet Fees,2020/06/30,93.5300
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,20.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,64.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,46.7500
CREEMORE ECHO,Advertising,2020/07/03,573.7500
2449125 ONTARIO INC.,Public Utilities,2020/07/07,26.6300
2449125 ONTARIO INC.,Public Utilities,2020/07/07,101.8600
