"Members – Detailed Contract Expenditures Report – Koutrakis, Annie – Q2 2021"
Supplier,Description,Date,Total
Newsfirst Multimédia (9030-2944 Québec Inc.),Advertising,2020/03/06,480.0000
The North American Filipino Star,Advertising,2020/03/26,73.5300
ZigZag Roman-Canadian Inc.,Advertising,2020/03/31,22.5000
El Chasqui Latino Inc.,Advertising,2020/04/01,29.4100
Newsfirst Multimédia (9030-2944 Québec Inc.),Advertising,2020/04/17,920.0000
Newsfirst Multimédia (9030-2944 Québec Inc.),Advertising,2020/04/20,91.7600
S.E.C Immobilière Petra,Office Rental and Related Fees,2020/05/01,-412.5000
Metro Media,Advertising,2020/05/09,72.0000
Newsfirst Multimédia (9030-2944 Québec Inc.),Advertising,2020/05/11,440.0000
Weekly Nawa-I-Pakistan,Advertising,2020/05/21,35.3000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,170.2500
S.E.C Immobilière Petra,Office Rental and Related Fees,2020/06/01,-412.5000
Intact Assurance,Constituency Office Insurance,2020/06/03,69.6700
TRICO GROUP,Householders,2020/06/05,6418.7600
CPA Les Larmes d'Argent de Laval,Advertising,2020/06/11,62.5000
The Filipino Forum,Advertising,2020/06/12,75.0000
Securité et Surveillance Diskat,"Security Equipment, Intercom and Alarm System (Central Budget)",2020/06/13,1725.0000
Securité et Surveillance Diskat,Protection and Alarm Monitoring (Member's Office Budget),2020/06/13,383.4000
TOP SÉCURITÉ SOLUTION CANADA,"Security Equipment, Intercom and Alarm System (Central Budget)",2020/06/14,700.0000
TOP SÉCURITÉ SOLUTION CANADA,Protection and Alarm Monitoring (Member's Office Budget),2020/06/14,72.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
Sports Laval,Advertising,2020/06/18,125.0000
Vidéotron s.e.n.c,Cable and Internet Fees,2020/06/19,125.0600
2M.Media,Advertising,2020/06/20,343.7500
Newsfirst Multimédia (9030-2944 Québec Inc.),Advertising,2020/06/22,440.0000
Newsfirst Multimédia (9030-2944 Québec Inc.),Advertising,2020/06/22,480.0000
Clan Creatif,Professional Communication Services,2020/06/23,60.5700
2M.Media,Advertising,2020/06/27,450.5500
Metro Media,Advertising,2020/06/27,72.0000
Radio Humsafar,Advertising,2020/06/27,40.0000
Newsfirst Multimédia (9030-2944 Québec Inc.),Advertising,2020/06/29,440.0000
The North American Filipino Star,Advertising,2020/06/29,73.5300
"Brikas, Vicky",Communications Officer,2020/06/30,5250.0000
El Chasqui Latino Inc.,Advertising,2020/06/30,29.4100
Grand & Toy,Cleaning Products,2020/06/30,111.3400
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,226.9600
"SUBURBAN, THE",Advertising,2020/06/30,129.0000
Factus Média,Advertising,2020/07/01,87.9400
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.5300
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,169.5000
S.E.C Immobilière Petra,Office Rental and Related Fees,2020/07/01,-412.5000
The Chinese Press,Advertising,2020/07/01,82.3500
ZigZag Roman-Canadian Inc.,Advertising,2020/07/01,22.5000
Montreal Community Contact,Advertising,2020/07/02,58.8600
Intact assurance,Constituency Office Insurance,2020/07/03,69.6700
2M.Media,Advertising,2020/07/04,450.5500
Maghreb Canada Express,Advertising,2020/07/07,29.4100
Newsfirst Multimédia (9030-2944 Québec Inc.),Advertising,2020/07/08,330.0000
2M.Media,Advertising,2020/07/11,212.5000
CONGRÈS NATIONAL DES ITALO-CANADIENS,Advertising,2020/07/13,185.7100
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,171.5100
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.0100
Services d'affaires Sud Asiatique Sawid,Advertising,2020/07/22,35.2900
Grand & Toy,Cleaning Products,2020/07/31,78.1600
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,99.9900
Maghreb Canada Express,Advertising,2020/08/01,29.4100
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,169.5000
S.E.C Immobilière Petra,Office Rental and Related Fees,2020/08/01,3783.7100
Intact Assurance,Constituency Office Insurance,2020/08/03,69.6700
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.0500
Weekly Nawa-I-Pakistan,Advertising,2020/08/13,123.6000
Walmart,"Office Supplies, Stationery and Accessories",2020/08/16,17.9600
"SUBURBAN, THE",Advertising,2020/08/17,172.2500
Radio Humsafar,Advertising,2020/08/19,40.0000
Vidéotron s.e.n.c,Cable and Internet Fees,2020/08/21,68.3100
2M.Media,Advertising,2020/08/22,361.4400
"Services d'affaires Sud Asiatiques Sawid ",Advertising,2020/08/24,35.2900
Newsfirst Multimédia (9030-2944 Québec Inc.),Advertising,2020/08/26,220.0000
2M.Media,Advertising,2020/08/29,343.7500
"Brikas, Vicky",Communications Officer,2020/08/31,10500.0000
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/08/31,203.6300
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.0600
S.E.C Immobilière Petra,Office Rental and Related Fees,2020/09/01,3783.7100
Intact Assurance,Constituency Office Insurance,2020/09/03,69.6700
Vidéotron s.e.n.c,Cable and Internet Fees,2020/09/18,119.9500
"SUBURBAN, THE",Advertising,2020/09/21,129.0000
Armenian Weekly,Advertising,2020/09/23,110.0000
Canada Post – Postes Canada,Courier Services,2020/09/23,5.7600
Canada Post – Postes Canada,Courier Services,2020/09/23,5.4800
Canada Post – Postes Canada,Courier Services,2020/09/23,9.3500
Canada Post – Postes Canada,Courier Services,2020/09/23,12.9600
Canada Post – Postes Canada,Courier Services,2020/09/23,7.6100
Canada Post – Postes Canada,Courier Services,2020/09/23,5.2400
Canada Post – Postes Canada,Courier Services,2020/09/23,8.1700
Canada Post – Postes Canada,Courier Services,2020/09/23,20.8900
S.E.C Immobilière Petra,Office Rental and Related Fees,2020/10/01,3783.7100
