"Members – Detailed Contract Expenditures Report – O'Regan, Seamus – Q2 2021"
Supplier,Description,Date,Total
RBC,Banking Fees and Cheque Orders,2019/07/18,10.9500
RBC,Banking Fees and Cheque Orders,2019/08/16,10.9500
RBC,Banking Fees and Cheque Orders,2019/09/18,10.9500
RBC,Banking Fees and Cheque Orders,2019/10/18,10.9500
RBC,Banking Fees and Cheque Orders,2019/11/18,10.9500
RBC,Banking Fees and Cheque Orders,2019/12/18,10.9500
RBC,Banking Fees and Cheque Orders,2019/12/18,10.9500
RBC,Banking Fees and Cheque Orders,2020/01/17,10.9500
RBC,Banking Fees and Cheque Orders,2020/02/18,10.9500
Amazon,"Printed Matter, Books, Newspapers and Subscriptions",2020/03/08,19.8000
JAVELIN PUBLISHING,Advertising,2020/03/12,185.0000
RBC,Banking Fees and Cheque Orders,2020/03/18,10.9500
Pik-Fast Express Inc.,Equipment Rental (non-hospitality related),2020/04/01,15.0000
RBC,Banking Fees and Cheque Orders,2020/04/17,10.9500
"BUSINESS POST, THE",Advertising,2020/04/20,113.0400
Rogers Wireless – Rogers sans-fil,Internet (COVID19),2020/04/20,100.8400
Pik-Fast Express Inc.,Equipment Rental (non-hospitality related),2020/05/01,15.0000
Bell Aliant,Internet (COVID19),2020/05/03,75.0000
"Bell Aliant ",Internet (COVID19),2020/05/03,75.0000
"BUSINESS POST, THE",Advertising,2020/05/04,80.0000
RBC,Banking Fees and Cheque Orders,2020/05/15,10.9500
Rogers Wireless – Rogers sans-fil,Internet (COVID19),2020/05/20,100.8400
"Bell Aliant ",Internet (COVID19),2020/05/21,107.9500
"BUSINESS POST, THE",Advertising,2020/05/21,113.0400
Amazon,"Printed Matter, Books, Newspapers and Subscriptions",2020/05/22,32.9300
Pik-Fast Express Inc.,Equipment Rental (non-hospitality related),2020/06/01,15.0000
Bell Aliant,Internet (COVID19),2020/06/03,75.0000
"Bell Aliant ",Internet (COVID19),2020/06/03,75.0000
Bell Aliant,Cable and Internet Fees,2020/06/06,208.1000
"BUSINESS POST, THE",Advertising,2020/06/07,113.0400
"BUSINESS POST, THE",Advertising,2020/06/07,80.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
NY Times,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/16,11.5000
RBC,Banking Fees and Cheque Orders,2020/06/18,10.9500
"BUSINESS POST, THE",Advertising,2020/06/19,113.0400
Rogers Wireless – Rogers sans-fil,Internet (COVID19),2020/06/20,100.8400
"Bell Aliant ",Internet (COVID19),2020/06/21,107.9500
App Store,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/24,39.9900
"MacPaw Inc. ",Licence Renewal,2020/06/25,53.5200
Modern Business Equipment Ltd.,Photocopier Rental and Related Costs,2020/06/30,107.1500
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,217.7800
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,263.7500
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.5200
Pik-Fast Express Inc.,Equipment Rental (non-hospitality related),2020/07/01,15.0000
allNewfoundlandandLabrador,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/02,39.0000
"Bell Aliant ",Internet (COVID19),2020/07/03,75.0000
"Bell Aliant ",Internet (COVID19),2020/07/03,75.0000
Staples Canada,Courier Services,2020/07/04,190.5800
Hill Times Publishing,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/05,35.0000
Bell Aliant,Cable and Internet Fees,2020/07/06,208.1000
"BUSINESS POST, THE",Advertising,2020/07/06,113.0400
NY Times,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/12,11.5000
"Whelan, John R.",Communications Officer,2020/07/13,3000.0000
TWIN CITIES IMAGING,Promotional Items,2020/07/16,1692.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,1.1700
"BUSINESS POST, THE",Advertising,2020/07/19,113.0400
"BUSINESS POST, THE",Advertising,2020/07/19,80.0000
App Store,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/20,12.9900
"Bell Aliant ",Internet (COVID19),2020/07/21,107.9500
"Reynolds, Jeremy",Photography and Video Services,2020/07/21,200.0000
"BUSINESS POST, THE",Advertising,2020/07/23,80.0000
App Store,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/25,39.9900
Modern Business Equipment Ltd.,Photocopier Rental and Related Costs,2020/07/28,53.5800
Canada Post,Postage and Parcel Post,2020/07/29,15.7400
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,97.8800
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,263.7500
TOPSAIL ROAD DEVELOPMENTS LIMITED,Office Rental and Related Fees,2020/08/01,3021.0000
Hill Times Publishing,"Printed Matter, Books, Newspapers and Subscriptions",2020/08/05,35.0000
All NewfoundlandandLabrador,"Printed Matter, Books, Newspapers and Subscriptions",2020/08/06,39.0000
Bell Aliant,Cable and Internet Fees,2020/08/06,209.2900
"Whelan, John R.",Communications Officer,2020/08/07,3000.0000
"BUSINESS POST, THE",Advertising,2020/08/09,193.0400
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.0500
"BUSINESS POST, THE",Advertising,2020/08/16,113.0400
House of Commons – Chambre des communes,Repair of Telecommunication Equipment,2020/08/19,169.0000
App Store,"Printed Matter, Books, Newspapers and Subscriptions",2020/08/20,12.9900
App Store,"Printed Matter, Books, Newspapers and Subscriptions",2020/08/24,39.9900
"BUSINESS POST, THE",Advertising,2020/08/26,193.0400
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/08/31,76.4300
Grand & Toy,Office Equipment,2020/08/31,344.9900
allNewfoundlandLabrador,"Printed Matter, Books, Newspapers and Subscriptions",2020/09/01,39.0000
Bell Mobility – Bell Mobilité,Long Distance,2020/09/01,11.5500
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,94.9800
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,263.7500
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.0500
