"Members – Detailed Contract Expenditures Report – Duguid, Terry – Q2 2021"
Supplier,Description,Date,Total
"Liberté, La",Advertising,2020/02/12,165.0000
Dakota Community Centre Inc.,Advertising,2020/04/01,491.6700
Maclean's Magazine,"Printed Matter, Books, Newspapers and Subscriptions",2020/04/03,9.9900
WINNIPEG OUTDOOR MARKETING GROUP INC.,Advertising,2020/04/06,420.0000
"Linguistica360, Inc","Office Supplies, Stationery and Accessories",2020/04/10,19.9000
POP Communications Inc.,Advertising,2020/04/15,160.0000
Royal Bank of Canada,Banking Fees and Cheque Orders,2020/04/24,14.5000
Canstar Community News,Advertising,2020/04/25,187.5000
"Coffee break Academy ","Printed Matter, Books, Newspapers and Subscriptions",2020/04/25,47.3700
Access Information Management,Shredding,2020/04/30,70.7300
"The Winnipeg jewish review ",Advertising,2020/04/30,25.0000
WINNIPEG OUTDOOR MARKETING GROUP INC.,Advertising,2020/05/04,420.0000
Apple,"Printed Matter, Books, Newspapers and Subscriptions",2020/05/05,14.9900
Shaw Direct,Cable and Internet Fees,2020/05/08,170.5400
Linguistics360,"Printed Matter, Books, Newspapers and Subscriptions",2020/05/10,19.9000
Choice Communications,Advertising,2020/05/23,160.5000
Royal Bank of Canada,Banking Fees and Cheque Orders,2020/05/25,9.5000
All Nations Print Ltd.,"Householders ",2020/05/28,3997.7500
Access Information Management,Shredding,2020/05/31,74.6500
Bell MTS,Cable and Internet Fees,2020/06/01,67.8500
BENCHMARK ADVERTISING LTD.,Advertising,2020/06/01,660.0000
"INDO-CANADIAN TELEGRAM, THE",Advertising,2020/06/01,252.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,119.0000
Winnipeg Free Press,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/01,133.5300
WINNIPEG OUTDOOR MARKETING GROUP INC.,Advertising,2020/06/01,420.0000
Maclean's Magazine,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/02,9.9900
PAL (55+),Advertising,2020/06/04,200.0000
MANITOBA CONSERVATION DISTRICTS ASSOC.,Advertising,2020/06/08,600.0000
Shaw Direct,Cable and Internet Fees,2020/06/09,201.9100
Linguistics360,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/10,19.9000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
Canstar Community News,Advertising,2020/06/20,288.8300
"INDO-CANADIAN TELEGRAM, THE",Advertising,2020/06/21,252.0000
Winnipeg Free Press,Advertising,2020/06/21,187.4800
Molave Publishing Company Inc.,Advertising,2020/06/23,115.5000
"Liberté, La",Advertising,2020/06/24,199.6500
Marsmedia,Advertising,2020/06/24,370.0000
Royal Bank of Canada,Banking Fees and Cheque Orders,2020/06/25,9.5000
Staples,"Office Supplies, Stationery and Accessories",2020/06/25,10.6900
Canstar Community News,Advertising,2020/06/27,288.8300
Canstar Community News,Advertising,2020/06/27,288.8300
WINNIPEG OUTDOOR MARKETING GROUP INC.,Advertising,2020/06/29,420.0000
Access Information Management,Shredding,2020/06/30,74.6500
"Shoppers ",Cleaning Products,2020/06/30,7.4800
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,8.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,118.5200
Bell MTS,Cable and Internet Fees,2020/07/01,66.1600
BENCHMARK ADVERTISING LTD.,Advertising,2020/07/01,660.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.5300
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,119.0000
All Nations Print Ltd.,Constituency Mail,2020/07/03,2761.9000
maclean's Magazine,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/06,9.9900
National Observer,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/09,139.9900
Shaw Direct,Cable and Internet Fees,2020/07/09,178.8100
Linguistics360,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/10,19.9000
MANITOBA HYDRO,Public Utilities,2020/07/10,135.5200
Canada Post – Postes Canada,Postage and Parcel Post,2020/07/13,208.4000
Quintex,Janitorial Services and Maintenance,2020/07/16,26.7500
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.2900
WINNIPEG JEWISH REVIEW,Advertising,2020/07/27,100.0000
WINNIPEG OUTDOOR MARKETING GROUP INC.,Advertising,2020/07/27,420.0000
Access Information Management,Shredding,2020/07/31,75.1000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,2.2000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,118.5200
BENCHMARK ADVERTISING LTD.,Advertising,2020/08/01,660.0000
Capital Property Management Inc.,Office Rental and Related Fees,2020/08/01,2223.3500
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,159.0000
Sobeys,Cleaning Products,2020/08/06,9.9300
Shaw Direct,Cable and Internet Fees,2020/08/09,194.5900
MANITOBA HYDRO,Public Utilities,2020/08/12,139.6100
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.0400
"INDO-CANADIAN TELEGRAM, THE",Advertising,2020/08/19,252.0000
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/08/24,50.0000
WINNIPEG OUTDOOR MARKETING GROUP INC.,Advertising,2020/08/24,420.0000
Apple Canada Inc.,Repair of Telecommunication Equipment,2020/08/31,338.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,245.7800
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,2.0000
BENCHMARK ADVERTISING LTD.,Advertising,2020/09/01,660.0000
Capital Property Management Inc.,Office Rental and Related Fees,2020/09/01,2223.3500
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.0600
Canada Post – Postes Canada,Courier Services,2020/09/23,10.3200
Canada Post – Postes Canada,Courier Services,2020/09/23,10.1200
Canada Post – Postes Canada,Courier Services,2020/09/23,18.3700
Canada Post – Postes Canada,Courier Services,2020/09/23,7.2500
Canada Post – Postes Canada,Courier Services,2020/09/23,19.4600
Canada Post – Postes Canada,Courier Services,2020/09/23,14.4100
Canada Post – Postes Canada,Courier Services,2020/09/23,95.8300
Capital Property Management Inc.,Office Rental and Related Fees,2020/10/01,2223.3500
