"Members – Detailed Travel Expenditures Report – Shipley, Doug – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0203017,2020/05/20,2020/06/20,,,,,,,0.0000,34.3700,0.0000,0,0,0,34.3700
T0203017,2020/05/20,2020/06/20,"Shipley, Doug",Member,Secondary Residence,2020/05/20,Ottawa,Ottawa,,,,,,,
T0202503,2020/06/12,2020/07/11,,,,,,,0.0000,108.4500,0.0000,0,0,0,108.4500
T0202503,2020/06/12,2020/07/11,"Shipley, Doug",Member,Secondary Residence,2020/06/12,Ottawa,Ottawa,,,,,,,
T0203720,2020/06/20,2020/07/20,,,,,,,0.0000,34.5800,0.0000,0,0,0,34.5800
T0203720,2020/06/20,2020/07/20,"Shipley, Doug",Member,Secondary Residence,2020/06/20,Ottawa,Ottawa,,,,,,,
T0203357,2020/07/12,2020/08/11,,,,,,,0.0000,108.4500,0.0000,0,0,0,108.4500
T0203357,2020/07/12,2020/08/11,"Shipley, Doug",Member,Secondary Residence,2020/07/12,Ottawa,Ottawa,,,,,,,
T0204630,2020/07/20,2020/08/20,,,,,,,0.0000,36.1200,0.0000,0,0,0,36.1200
T0204630,2020/07/20,2020/08/20,"Shipley, Doug",Member,Secondary Residence,2020/07/20,Ottawa,Ottawa,,,,,,,
200430793,2020/08/01,2020/08/31,,,,,,,0.0000,1645.0000,0.0000,0,0,0,1645.0000
200430793,2020/08/01,2020/08/31,"Shipley, Doug",Member,Secondary Residence,2020/08/01,OTTAWA,OTTAWA,,,,,,,
T0204172,2020/08/23,2020/08/25,,,,,,,490.1000,0.0000,184.3800,1.0000,0,0,674.4800
T0204172,2020/08/23,2020/08/25,"Shipley, Doug",Member,To travel to/from constituency and Ottawa,2020/08/23,Barrie,Ottawa,,,,,,,
T0204172,2020/08/23,2020/08/25,"Shipley, Doug",Member,To travel to/from constituency and Ottawa,2020/08/25,Ottawa,Barrie,,,,,,,
200437275,2020/09/01,2020/09/30,,,,,,,0.0000,1645.0000,0.0000,0,0,0,1645.0000
200437275,2020/09/01,2020/09/30,"Shipley, Doug",Member,Secondary Residence,2020/09/01,OTTAWA,OTTAWA,,,,,,,
T0204755,2020/09/08,2020/09/10,,,,,,,490.1000,0.0000,230.1300,1.0000,0,0,720.2300
T0204755,2020/09/08,2020/09/10,"Shipley, Doug",Member,To travel to/from constituency and Ottawa,2020/09/08,Barrie,Ottawa,,,,,,,
T0204755,2020/09/08,2020/09/10,"Shipley, Doug",Member,To travel to/from constituency and Ottawa,2020/09/10,Ottawa,Barrie,,,,,,,
T0205126,2020/09/12,2020/10/11,,,,,,,0.0000,108.4500,0.0000,0,0,0,108.4500
T0205126,2020/09/12,2020/10/11,"Shipley, Doug",Member,Secondary Residence,2020/09/12,Ottawa,Ottawa,,,,,,,
200442137,2020/10/01,2020/10/31,,,,,,,0.0000,1645.0000,0.0000,0,0,0,1645.0000
200442137,2020/10/01,2020/10/31,"Shipley, Doug",Member,Secondary Residence,2020/10/01,OTTAWA,OTTAWA,,,,,,,
