"Members – Detailed Contract Expenditures Report – Fergus, Greg – Q2 2021"
Supplier,Description,Date,Total
Facebook,Advertising,2020/04/12,165.00
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,9.54
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,632.43
Fondation Lani,Advertising,2020/06/01,250.00
Amazon,Consumable Items for Constituency Offices (COVID19),2020/06/04,26.54
Amazon,Consumable Items for Constituency Offices (COVID19),2020/06/05,79.98
Amazon,Consumable Items for Constituency Offices (COVID19),2020/06/05,22.99
Videotron,Cable and Internet Fees,2020/06/05,172.95
Amazon,Consumable Items for Constituency Offices (COVID19),2020/06/08,23.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.39
Bulletin d'Aylmer,Advertising,2020/06/17,155.00
Digital River,Licence Renewal,2020/06/18,199.75
Ass. des Résidants de l'Île de Hull,Advertising,2020/06/22,250.00
Amazon,Consumable Items for Constituency Offices (COVID19),2020/06/23,55.98
Bulletin d'Aylmer,Advertising,2020/06/24,155.00
Videotron,Cable and Internet Fees,2020/06/26,345.90
Amazon,Consumable Items for Constituency Offices (COVID19),2020/06/28,55.98
Amazon,Consumable Items for Constituency Offices (COVID19),2020/06/29,55.98
Amazon,Consumable Items for Constituency Offices (COVID19),2020/06/30,29.98
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,218.30
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,2.00
NGP VAn,Professional Communication Services,2020/07/01,100.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.53
RBC,Banking Fees and Cheque Orders,2020/07/02,15.75
Bulletin d'Aylmer,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/07,240.00
West Québec Post,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/07,101.85
Manne de l’Île,Advertising,2020/07/08,500.00
services linguistiques – clara lagacé,Professional Communication Services,2020/07/09,30.00
Walmart,Consumable Items for Constituency Offices (COVID19),2020/07/09,89.95
9405-3527 Quebec.inc,Constituency Office Reconfigurations and Fixtures (COVID19),2020/07/11,429.00
Amazon,"Office Supplies, Stationery and Accessories",2020/07/14,17.98
Amazon,Consumable Items for Constituency Offices (COVID19),2020/07/14,29.99
Amazon,"Office Supplies, Stationery and Accessories",2020/07/14,49.98
Amazon,"Office Supplies, Stationery and Accessories",2020/07/14,34.97
Amazon,"Office Supplies, Stationery and Accessories",2020/07/14,22.99
House of Commons – Chambre des communes,Householders – Paper Recovery,2020/07/14,10.78
Geeko Tech,Consumable Items for Constituency Offices (COVID19),2020/07/17,31.96
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,7.46
Digital River,Licence Renewal,2020/07/18,199.75
Chambre de Commerce de Gatineau,Advertising,2020/07/21,250.00
videotron,Cable and Internet Fees,2020/07/24,172.95
Grand & Toy,Cleaning Products,2020/07/31,167.88
Regroupement affaies femmes,Advertising,2020/07/31,500.00
6250424 Canada Inc,Office Rental and Related Fees,2020/08/01,2853.00
Aquaterra Corp.,Spring Water,2020/08/01,41.26
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,218.30
VILLE DE GATINEAU,Office Rental and Related Fees,2020/08/01,1609.42
RBC,Banking Fees and Cheque Orders,2020/08/03,13.25
videotron,Cable and Internet Fees,2020/08/07,172.95
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.04
La Capitale Assurance générales,Constituency Office Insurance,2020/08/15,61.04
IKEA,Office Furniture and Fixtures,2020/08/17,9.99
IKEA,Office Equipment,2020/08/17,198.00
IKEA,Office Furniture and Fixtures,2020/08/17,987.00
" Suzhou Suogesi Network Technology Co., Ltd",Office Furniture and Fixtures,2020/08/19,199.99
"Amazon ","Office Supplies, Stationery and Accessories",2020/08/19,48.90
"Amazon ","Office Supplies, Stationery and Accessories",2020/08/19,53.98
FC Gatineau,Advertising,2020/08/19,250.00
"Amazon ",Computer Equipment,2020/08/20,247.99
Denis,Office Furniture and Fixtures,2020/08/21,1039.95
Videotron,Cable and Internet Fees,2020/08/21,172.95
IKEA,Office Furniture and Fixtures,2020/08/24,50.00
Trans Outaouais,Advertising,2020/08/25,250.00
9405-3527 Quebec,Constituency Office Reconfigurations and Fixtures (COVID19),2020/08/26,575.00
Azar displays,Office Furniture and Fixtures,2020/08/26,93.79
Denis,Office Furniture and Fixtures,2020/08/26,269.99
Denis,Office Furniture and Fixtures,2020/08/26,719.99
Denis,Office Furniture and Fixtures,2020/08/26,499.99
Denis,Office Furniture and Fixtures,2020/08/26,659.99
Denis,Office Furniture and Fixtures,2020/08/26,939.94
Denis,Office Furniture and Fixtures,2020/08/26,299.99
Denis,Office Furniture and Fixtures,2020/08/26,499.99
OFL,Freight,2020/08/26,249.99
OFL,Office Furniture and Fixtures,2020/08/26,1049.99
"Voix de l`Immigrant, La",Advertising,2020/08/28,250.00
JEUNESSE IDEM,Advertising,2020/08/29,250.00
"Denis ",Office Furniture and Fixtures,2020/08/31,199.99
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/08/31,109.04
Grands Frères Grandes Soeurs de l'Outaouais,Advertising,2020/08/31,150.00
"Ikea ","Office Supplies, Stationery and Accessories",2020/08/31,392.93
La Source,"Office Supplies, Stationery and Accessories",2020/08/31,39.96
"Quincaillerie Home Hardware ","Office Supplies, Stationery and Accessories",2020/08/31,19.98
"Quincaillerie Home Hardware ",Cleaning Products,2020/08/31,70.88
"Quincaillerie Home Hardware ","Office Supplies, Stationery and Accessories",2020/08/31,68.66
6250424 Canada Inc,Office Rental and Related Fees,2020/09/01,2853.00
"Amazon ","Office Supplies, Stationery and Accessories",2020/09/01,85.98
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,45.67
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.06
RBC,Banking Fees and Cheque Orders,2020/09/01,26.25
"Amazon ",Constituency Office Reconfigurations and Fixtures (COVID19),2020/09/02,773.34
Bulletin d'Aylmer,Advertising,2020/09/02,155.00
Denis,Cleaning Products,2020/09/03,19.99
Denis,Cleaning Products,2020/09/03,29.99
Denis,Computer Equipment,2020/09/03,242.48
Denis,Signage,2020/09/03,14.99
Denis,Cleaning Products,2020/09/03,29.97
Denis,Office Furniture and Fixtures,2020/09/03,79.99
Denis,Computer Equipment,2020/09/03,370.98
Denis,Cleaning Products,2020/09/03,69.99
Denis,Office Furniture and Fixtures,2020/09/03,119.99
Denis,Signage,2020/09/03,14.99
Denis,Cleaning Products,2020/09/03,14.99
Denis,Office Furniture and Fixtures,2020/09/03,299.99
Denis,Cleaning Products,2020/09/03,104.97
Denis,Office Equipment,2020/09/03,179.99
Denis,Cleaning Products,2020/09/04,14.99
Denis,Cleaning Products,2020/09/04,39.99
Videotron,Cable and Internet Fees,2020/09/04,372.90
Services Linguistiques Clara Lagacé,Subject Matter Expert,2020/09/05,15.00
Ikea,Office Furniture and Fixtures,2020/09/08,60.00
Bulletin d'Aylmer,Advertising,2020/09/09,155.00
"Quincaillerie Home ",Cleaning Products,2020/09/09,65.65
ORCHESTRE SYMPHONIQUE DE GATINEAU,Advertising,2020/09/11,250.00
Ordinateurs Spark,"Office Supplies, Stationery and Accessories",2020/09/14,19.95
Épilepsie Outaouais inc.,Advertising,2020/09/15,200.00
MDL TELECOM,Repair of Telecommunication Equipment,2020/09/15,1922.42
4 OFFICE AUTOMATION LTD.,Toner,2020/09/16,183.74
"Peintres DécorPro Inc., Les",Office Renovations,2020/09/18,150.00
Barbuzz,Signage,2020/09/21,60.00
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/09/21,389.86
Office Ally,Office Equipment,2020/09/22,1377.00
Canada Post – Postes Canada,Courier Services,2020/09/23,10.46
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/09/25,162.32
Videotron,Cable and Internet Fees,2020/09/25,172.95
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/09/28,180.00
Canada Post – Postes Canada,Courier Services,2020/09/30,38.18
6250424 Canada Inc,Office Rental and Related Fees,2020/10/01,2853.00
Gestion Pierre Heafey enrg.,Office Rental and Related Fees,2020/10/01,2450.00
