"Members – Detailed Contract Expenditures Report – O'Connell, Jennifer – Q2 2021"
Supplier,Description,Date,Total
BELL CANADA,Cable and Internet Fees,2020/03/15,105.95
"UXBRIDGE COSMOS, THE",Advertising,2020/04/02,380.00
Rogers,Internet (COVID19),2020/04/03,22.49
BELL CANADA,Cable and Internet Fees,2020/04/15,105.95
Rogers,Cable and Internet Fees,2020/04/18,55.46
Elexicon Energy,Public Utilities,2020/04/24,65.87
BELL CANADA,Cable and Internet Fees,2020/05/01,296.00
Rogers,Internet (COVID19),2020/05/03,22.49
DAE Consulting Inc.,Repair of Computer Equipment and Peripherals,2020/05/13,234.25
BELL CANADA,Cable and Internet Fees,2020/05/15,105.95
Canada Post,Courier Services,2020/05/25,25.69
Canada Post,Courier Services,2020/05/25,22.99
Rogers Wireless – Rogers sans-fil,Long Distance,2020/06/01,0.75
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,126.79
Snapd Inc,Advertising,2020/06/01,265.00
PRINT ME DESIGN,Householders,2020/06/02,2020.93
Rogers,Internet (COVID19),2020/06/03,22.49
BELL CANADA,Cable and Internet Fees,2020/06/15,105.95
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.39
Canada Post,Courier Services,2020/06/17,16.50
Home Depot,"Office Supplies, Stationery and Accessories",2020/06/18,47.79
"UXBRIDGE COSMOS, THE",Advertising,2020/06/22,185.00
Durham Citizen,Advertising,2020/06/23,600.00
Star Metroland Media,Advertising,2020/06/28,581.00
Walmart Canada,"Office Supplies, Stationery and Accessories",2020/06/28,20.92
Grand & Toy,Cleaning Products,2020/06/30,171.95
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,24.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.52
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,130.79
Snapd Inc,Advertising,2020/07/01,265.00
Bell,Cable and Internet,2020/07/15,142.90
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.10
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,14.20
House of Commons – Chambre des communes,Language Training,2020/07/31,82.92
House of Commons – Chambre des communes,Language Training,2020/07/31,110.56
1154 Kingston Group Inc.,Office Rental and Related Fees,2020/08/01,2388.30
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,24.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,205.54
Amazon,Office Furniture and Fixtures,2020/08/06,269.88
Structube,Office Furniture and Fixtures,2020/08/06,299.00
Wayfair,Office Furniture and Fixtures,2020/08/06,539.99
Amazon,Photographic Equipment,2020/08/10,157.99
Amazon,"Office Supplies, Stationery and Accessories",2020/08/10,41.31
Canadian Standard,Office Renovations,2020/08/12,46860.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.05
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/08/24,8.44
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/08/31,318.99
1154 Kingston Group Inc.,Office Rental and Related Fees,2020/09/01,2388.30
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,24.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.05
Canada Post – Postes Canada,Courier Services,2020/09/23,7.91
Canada Post – Postes Canada,Courier Services,2020/09/23,5.59
Canada Post – Postes Canada,Courier Services,2020/09/23,7.61
Canada Post – Postes Canada,Courier Services,2020/09/23,7.08
Canada Post – Postes Canada,Courier Services,2020/09/23,7.08
Canada Post – Postes Canada,Courier Services,2020/09/23,7.21
Canada Post – Postes Canada,Courier Services,2020/09/23,15.44
Canada Post – Postes Canada,Courier Services,2020/09/23,7.18
1154 Kingston Group Inc.,Office Rental and Related Fees,2020/10/01,2388.30
