"Members – Detailed Contract Expenditures Report – Dancho, Raquel – Q2 2021"
Supplier,Description,Date,Total
JEWISH POST & NEWS,Advertising,2020/04/01,92.6700
STERLING MARKING PRODUCTS INC,"Office Supplies, Stationery and Accessories",2020/04/14,71.0300
"Hill Times Publishing ","Printed Matter, Books, Newspapers and Subscriptions",2020/04/20,35.0000
DSI Security Systems,Protection and Alarm Monitoring (Member's Office Budget),2020/05/01,28.8400
MAXIMIZER SERVICES INC,Licence Renewal,2020/05/01,2897.9500
World of Water,Spring Water,2020/05/06,26.2300
Canstar Community News,Advertising,2020/05/09,800.0000
Hill Times Publishing,"Printed Matter, Books, Newspapers and Subscriptions",2020/05/20,35.0000
Canadian tire,Consumable Items for Constituency Offices (COVID19),2020/05/29,42.7900
Regehr's Printing Ltd.,"Householders ",2020/05/29,3008.5500
Canstar Community News,Advertising,2020/05/30,900.0000
Regehr's Printing Ltd.,Signage,2020/05/30,1845.7500
WINNIPEG JEWISH REVIEW,Advertising,2020/05/30,130.0000
DSI Security Systems,Protection and Alarm Monitoring (Member's Office Budget),2020/06/01,28.8400
Walmart,Cleaning Products,2020/06/01,44.6600
Walmart,Office Furniture and Fixtures,2020/06/01,46.7900
Canadian Tire,"Television, Video and Fax",2020/06/02,457.9300
Princess Auto,"Television, Video and Fax",2020/06/02,37.4400
Bell Mobility,Telephone Data Plans and Cards,2020/06/04,64.9700
"Government of Manitoba ",Other Training and Conferences,2020/06/05,50.0000
Canstar Community News,Advertising,2020/06/06,600.0000
Regehr's Printing Ltd,External Printing Costs,2020/06/07,5623.9200
Blacklock's Reporter,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/08,314.0000
Zoom Video Communications Inc.,Licence Renewal,2020/06/08,320.0000
Uline,"Office Supplies, Stationery and Accessories",2020/06/09,251.8800
Canada Post,Postage and Parcel Post,2020/06/12,9.2000
Canada Post,Postage and Parcel Post,2020/06/12,3.1900
Dollarama,Pins and Flags,2020/06/14,42.3200
Dollarama,Pins and Flags,2020/06/15,40.1300
Canstar Community News,Advertising,2020/06/20,800.0000
Hill Times Publishing,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/20,35.0000
Staples Business Advantage (MISS),Office Furniture and Fixtures,2020/06/22,6068.8300
"Zoom ",Licence Renewal,2020/06/22,35.7300
Staples Canada,"Office Supplies, Stationery and Accessories",2020/06/23,9.6300
Dollarama,"Office Supplies, Stationery and Accessories",2020/06/24,97.3700
JEWISH POST & NEWS,Advertising,2020/06/24,107.0000
Staples Canada,"Office Supplies, Stationery and Accessories",2020/06/24,64.1700
Canstar Community News,Advertising,2020/06/27,800.0000
Canadian Tire,Office Furniture and Fixtures,2020/06/29,148.7000
Dollarama,Promotional Items,2020/06/29,20.8700
Lowes,Signage,2020/06/29,78.9900
Dollarama,Promotional Items,2020/06/30,6.4200
Dollarama,"Office Supplies, Stationery and Accessories",2020/06/30,41.2500
Lowe's,Signage,2020/06/30,20.7000
MANITOBA HYDRO,Public Utilities,2020/06/30,137.3800
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,132.4800
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,46.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,30.0000
BENCHMARK ADVERTISING LTD.,Advertising,2020/07/01,1500.0000
DSI Security Systems,Protection and Alarm Monitoring (Member's Office Budget),2020/07/01,28.8400
Staples Canada,"Office Supplies, Stationery and Accessories",2020/07/02,18.1700
Bell Mobility,Telephone Data Plans and Cards,2020/07/04,64.2000
"Canada Post ",Postage and Parcel Post,2020/07/06,4.4400
