"Members – Detailed Contract Expenditures Report – Shanahan, Brenda – Q2 2021"
Supplier,Description,Date,Total
Our Lady of Perpetual Help Parish,Advertising,2019/12/18,480.00
FABRIQUE DE LA PAROISSE SAINT-REMI,Office Rental and Related Fees,2020/02/01,500.00
FABRIQUE DE LA PAROISSE SAINT-REMI,Office Rental and Related Fees,2020/03/01,500.00
S.A.V.C.,Other Training and Conferences,2020/03/11,30.00
L'entreprise Hamel,Janitorial Services and Maintenance,2020/03/13,80.00
FABRIQUE DE LA PAROISSE SAINT-REMI,Office Rental and Related Fees,2020/04/01,500.00
D.C.Q. 2020-2021,Advertising,2020/04/09,250.00
FABRIQUE DE LA PAROISSE SAINT-REMI,Office Rental and Related Fees,2020/05/01,500.00
Bell Canada,Cable and Internet Fees,2020/05/10,150.65
SOCIETE DU MUSEE DU GRAND CHATEAUGUAY,Advertising,2020/05/18,250.00
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.81
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.18
Facebook,Advertising,2020/05/30,19.44
FABRIQUE DE LA PAROISSE SAINT-REMI,Office Rental and Related Fees,2020/06/01,500.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,25.50
Icimédias Inc.,Advertising,2020/06/03,525.00
Bell Canada,Cable and Internet Fees,2020/06/10,144.90
GraVité Média,Advertising,2020/06/13,636.75
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.39
Club Optimiste de Léry Inc.,Advertising,2020/06/17,250.00
GraVité Média,Advertising,2020/06/27,445.00
Facebook,Advertising,2020/06/29,30.00
Grand & Toy,Bulk Paper Purchases,2020/06/30,6.73
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,71.53
Grand & Toy,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/06/30,20.00
IMPRIMERIE RESSOURCES ILLIMITÉES,Postage and Parcel Post,2020/06/30,108.92
IMPRIMERIE RESSOURCES ILLIMITÉES,"Householders ",2020/06/30,4995.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,12.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,185.84
FABRIQUE DE LA PAROISSE SAINT-REMI,Office Rental and Related Fees,2020/07/01,500.00
Facebook,Advertising,2020/07/01,5.26
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.52
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,29.75
Purolator Inc.,Courier Services,2020/07/03,5.12
Facebook,Advertising,2020/07/04,30.00
GraVité Média,Advertising,2020/07/04,445.00
Éducaloi,Advertising,2020/07/06,250.00
Société d'Histoire des XI,Advertising,2020/07/07,350.00
Espace Châteauguay,Advertising,2020/07/09,500.00
Bell Canada,Cable and Internet Fees,2020/07/10,151.81
GraVité Média,Advertising,2020/07/11,890.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,15.49
COMITÉ CHÔMAGE DU HAUT-RICHELIEU,Advertising,2020/07/16,250.00
O-Ké-Bel,Spring Water,2020/07/16,4.00
TECHNISÉCUR ÉLECTRONIQUE,Protection and Alarm Monitoring (Member's Office Budget),2020/07/16,154.00
CHOEUR LA BOHEME INC.,Advertising,2020/07/17,250.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,1.38
Facebook,Advertising,2020/07/30,11.65
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,133.14
Grand & Toy,Cleaning Products,2020/07/31,62.24
Grand & Toy,Bulk Paper Purchases,2020/07/31,44.70
Purolator Inc.,Courier Services,2020/07/31,10.34
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,4.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,205.84
FABRIQUE DE LA PAROISSE SAINT-REMI,Office Rental and Related Fees,2020/08/01,500.00
"LEE, JAMES",Office Rental and Related Fees,2020/08/01,2180.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,16.79
Super Ado,Advertising,2020/08/06,250.00
Bell Canada,Cable and Internet Fees,2020/08/10,151.82
CHÂTEAUGUAY & VALLEY IRISH HERITAGE ASSOCIATION INC.,Advertising,2020/08/10,250.00
Zoom,Licence Renewal,2020/08/10,200.00
L'entreprise Hamel,Janitorial Services and Maintenance,2020/08/11,80.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.05
O-Ké-Bel,Spring Water,2020/08/14,24.00
Mary Hogan,Gifts given as a matter of protocol,2020/08/24,448.00
South Shore Youth Organization,Advertising,2020/08/30,200.00
Grand & Toy,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/08/31,156.19
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/08/31,115.08
Grand & Toy,Cleaning Products,2020/08/31,23.39
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,185.84
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,10.00
FABRIQUE DE LA PAROISSE SAINT-REMI,Office Rental and Related Fees,2020/09/01,500.00
"LEE, JAMES",Office Rental and Related Fees,2020/09/01,2180.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.05
Club de Patinage de Vitesse de Châteauguay,Advertising,2020/09/02,300.00
MicroJeux,Computer Equipment,2020/09/03,59.97
SEMAINIER PAROISSIAL,Advertising,2020/09/04,220.00
SEMAINIER PAROISSIAL,Advertising,2020/09/04,290.00
SEMAINIER PAROISSIAL,Advertising,2020/09/04,240.00
GraVité Média,Advertising,2020/09/05,490.00
Manoir D'Youville,Public Meeting Room Rentals,2020/09/08,308.70
Purolator Inc.,Courier Services,2020/09/11,16.07
Ass. des Auteurs de la Montérégie,Advertising,2020/09/23,250.00
Canada Post – Postes Canada,Courier Services,2020/09/23,7.18
Canada Post – Postes Canada,Courier Services,2020/09/23,7.41
Canada Post – Postes Canada,Courier Services,2020/09/23,8.52
Canada Post – Postes Canada,Courier Services,2020/09/23,7.00
Canada Post – Postes Canada,Courier Services,2020/09/23,5.94
Canada Post – Postes Canada,Courier Services,2020/09/23,27.69
Canada Post – Postes Canada,Courier Services,2020/09/23,5.51
Centre d'Action Bénévole du Grand Châteauguay,Advertising,2020/09/24,500.00
FABRIQUE DE LA PAROISSE SAINT-REMI,Office Rental and Related Fees,2020/10/01,500.00
"LEE, JAMES",Office Rental and Related Fees,2020/10/01,2180.00
