"Members – Detailed Contract Expenditures Report – Damoff, Pam – Q2 2021"
Supplier,Description,Date,Total
TekSavvy Solutions Inc.,Internet (COVID19),2020/03/01,67.2700
Star Metroland Media,Advertising,2020/03/08,500.0000
Star Metroland Media,Advertising,2020/03/08,500.0000
TekSavvy Solutions Inc.,Internet (COVID19),2020/03/13,41.9500
Bell Canada,Internet (COVID19),2020/03/18,105.9500
Rogers,Internet (COVID19),2020/03/31,89.9900
TekSavvy Solutions Inc.,Internet (COVID19),2020/04/01,67.2700
Rogers,Internet (COVID19),2020/04/03,34.9900
TekSavvy Solutions Inc.,Internet (COVID19),2020/04/13,41.9500
Bell Canada,Internet (COVID19),2020/04/18,105.9500
Rogers,Internet (COVID19),2020/04/30,89.9900
TekSavvy Solutions Inc.,Internet (COVID19),2020/05/01,72.2700
Rogers,Internet (COVID19),2020/05/03,34.9900
Bell Canada,Internet (COVID19),2020/05/05,99.9500
TekSavvy Solutions Inc.,Internet (COVID19),2020/05/13,46.9500
Bell Canada,Internet (COVID19),2020/05/16,59.9500
Bell Canada,Internet (COVID19),2020/05/18,105.9500
Rogers,Internet (COVID19),2020/05/31,89.9900
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,218.0800
Rogers,Internet (COVID19),2020/06/03,34.9900
Bell Canada,Internet (COVID19),2020/06/05,99.9500
TekSavvy Solutions Inc.,Internet (COVID19),2020/06/06,72.2700
TekSavvy Solutions Inc.,Internet (COVID19),2020/06/13,46.9500
Canadian Springs,Spring Water,2020/06/14,8.9900
Bell Canada,Internet (COVID19),2020/06/16,59.9500
FastSpring,Licence Renewal,2020/06/16,43.9900
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
Bell Canada,Internet (COVID19),2020/06/18,105.9500
Zoom Video Communications Inc.,Licence Renewal,2020/06/27,20.0000
Star Metroland Media,Advertising,2020/06/28,199.6600
Star Metroland Media,Advertising,2020/06/28,299.5000
Facebook Inc,Advertising,2020/06/30,356.8300
Rogers,Internet (COVID19),2020/06/30,89.9900
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.5300
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,229.3300
SNAPD BURLINGTON,Advertising,2020/07/01,231.6600
SNAPD OAKVILLE,Advertising,2020/07/01,337.5000
Cogeco Connexion inc.,Cable and Internet Fees,2020/07/06,219.9500
Mailchimp,Professional Communication Services,2020/07/09,105.0100
Canadian Springs,Equipment Rental (non-hospitality related),2020/07/12,8.9900
FastSpring,Licence Renewal,2020/07/16,43.9900
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,2.1800
Rotary Club of Oakville West,Advertising,2020/07/23,100.0000
Zoom Video Communications Inc.,Licence Renewal,2020/07/27,20.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,263.3300
VGR INVESTMENTS LTD.,Office Rental and Related Fees,2020/08/01,2750.0000
Cogeco Connexion inc.,Cable and Internet Fees,2020/08/06,219.9500
Canadian Springs,Spring Water,2020/08/09,8.9900
Mailchimp,Professional Communication Services,2020/08/09,103.2900
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.0400
FastSpring,Licence Renewal,2020/08/16,43.9900
"Zoom Communications Inc. ",Licence Renewal,2020/08/27,20.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.0600
VGR INVESTMENTS LTD.,Office Rental and Related Fees,2020/09/01,2750.0000
Canadian Springs,Spring Water,2020/09/06,8.9900
Cogeco Connexion inc.,Cable and Internet Fees,2020/09/06,219.9500
Mailchimp,Professional Communication Services,2020/09/09,102.0500
FastSpring,Licence Renewal,2020/09/16,43.9900
Canada Post – Postes Canada,Courier Services,2020/09/23,5.4000
Canada Post – Postes Canada,Courier Services,2020/09/23,8.8700
Canada Post – Postes Canada,Courier Services,2020/09/23,7.1800
Canada Post – Postes Canada,Courier Services,2020/09/23,5.2100
Canada Post – Postes Canada,Courier Services,2020/09/23,7.2100
Canada Post – Postes Canada,Courier Services,2020/09/23,7.5000
Canada Post – Postes Canada,Courier Services,2020/09/23,7.6900
Canada Post – Postes Canada,Courier Services,2020/09/23,20.8900
VGR INVESTMENTS LTD.,Office Rental and Related Fees,2020/10/01,2750.0000
