"Members – Detailed Contract Expenditures Report – Chagger, Bardish – Q2 2021"
Supplier,Description,Date,Total
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.81
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.18
Digital Ocean,Web Site Hosting/Domain Name,2020/06/01,11.92
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,254.50
WAWANESA,Constituency Office Insurance,2020/06/03,938.53
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.39
Star Metroland Media,Advertising,2020/06/28,150.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,219.92
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,56.00
Digital Ocean,Web Site Hosting/Domain Name,2020/07/01,12.44
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.53
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,249.25
RCAP leasing Inc.,Photocopier Rental and Related Costs,2020/07/03,291.03
Star Metroland Media,Advertising,2020/07/05,236.50
Rogers Wireless – Rogers sans-fil,Voice Communication Equipment,2020/07/06,310.00
Rogers,Cable and Internet Fees,2020/07/08,242.99
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,5.73
4 OFFICE AUTOMATION LTD.,Toner,2020/07/27,14.00
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2020/07/30,52.49
Apple Canada Inc.,Repair of Telecommunication Equipment,2020/07/31,169.00
SHRED-IT INTERNATIONAL ULC.,Shredding,2020/07/31,91.17
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,56.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,82.70
"CITY OF WATERLOO, THE",Office Rental and Related Fees,2020/08/01,3256.19
Digital Ocean,Accounting and Audit Services,2020/08/01,13.72
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,297.00
Rogers,Cable and Internet Fees,2020/08/08,247.54
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.04
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/08/21,249.25
4 OFFICE AUTOMATION LTD.,Photocopier Rental and Related Costs,2020/08/27,130.12
Grand & Toy,Bulk Paper Purchases,2020/08/31,112.00
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/08/31,325.85
Grand & Toy,Other Consumable Supplies From Stores,2020/08/31,11.55
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,56.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,25.40
"CITY OF WATERLOO, THE",Office Rental and Related Fees,2020/09/01,3256.19
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.06
Star Metroland Media,Advertising,2020/09/06,374.50
Rogers,Cable and Internet Fees,2020/09/08,207.99
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/09/21,4020.00
Canada Post – Postes Canada,Courier Services,2020/09/23,19.86
Canada Post – Postes Canada,Courier Services,2020/09/23,6.86
Canada Post – Postes Canada,Courier Services,2020/09/23,186.71
"CITY OF WATERLOO, THE",Office Rental and Related Fees,2020/10/01,3256.19
