"Members – Detailed Contract Expenditures Report – Bains, Navdeep – Q2 2021"
Supplier,Description,Date,Total
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,200.29
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.39
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.53
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,218.54
Canada Post – Postes Canada,Postage and Parcel Post,2020/07/13,402.32
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.24
Manulife Canadian Pooled Real Estate Fund,Office Rental and Related Fees,2020/08/01,3114.04
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,281.54
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.04
Manulife Canadian Pooled Real Estate Fund,Office Rental and Related Fees,2020/09/01,3114.04
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.06
Northern Micro Inc.,"Office Supplies, Stationery and Accessories",2020/09/09,16.10
Canada Post – Postes Canada,Courier Services,2020/09/30,14.74
Manulife Canadian Pooled Real Estate Fund,Office Rental and Related Fees,2020/10/01,3114.04
