"Members – Detailed Contract Expenditures Report – Angus, Charlie – Q2 2021"
Supplier,Description,Date,Total
Purolator,Courier Services,2020/03/13,29.77
comtec computers,"Office Supplies, Stationery and Accessories",2020/03/20,34.98
Purolator,Courier Services,2020/03/20,18.86
Purolator,Courier Services,2020/03/27,5.89
Caisse Populaire,Banking Fees and Cheque Orders,2020/03/31,9.00
CJKL-FM,Advertising,2020/03/31,547.20
Caisse Populaire,Banking Fees and Cheque Orders,2020/04/01,5.00
Purolator,Courier Services,2020/04/03,5.89
Purolator,Courier Services,2020/04/10,16.27
TeckSavvy,Internet (COVID19),2020/04/16,39.95
Canada Post,Postage and Parcel Post,2020/04/17,14.54
Purolator,Courier Services,2020/04/17,5.68
Home Hardware,"Office Supplies, Stationery and Accessories",2020/04/23,13.75
LE5 COMMUNICATIONS INC.,Advertising,2020/04/30,345.00
Caisse Populaire,Banking Fees and Cheque Orders,2020/05/01,12.00
Purolator,Courier Services,2020/05/22,5.48
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,9.54
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,632.44
Caisse Populaire,Banking Fees and Cheque Orders,2020/06/01,7.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,270.04
Canadian Tire,"Office Supplies, Stationery and Accessories",2020/06/03,116.98
Zoom,Licence Renewal,2020/06/08,20.00
comtec computers,"Office Supplies, Stationery and Accessories",2020/06/15,28.96
comtec computers,Toner,2020/06/15,118.85
Apple Canada Inc.,Repair of Telecommunication Equipment,2020/06/16,169.15
Rogers Wireless – Rogers sans-fil,Voice Communication Equipment,2020/06/16,260.00
TeckSavvy,Internet (COVID19),2020/06/16,44.95
Publication Voyageur,Advertising,2020/06/17,63.21
Apple Canada Inc.,Repair of Telecommunication Equipment,2020/06/18,-0.15
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2020/06/20,44.99
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/06/23,210.92
EASTLINK,Cable and Internet Fees,2020/06/24,271.47
Publication Voyageur,Advertising,2020/06/24,63.21
Purolator,Courier Services,2020/06/26,5.38
"Chartrand, Tina",Janitorial Services and Maintenance,2020/06/30,200.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,64.00
"Brady, Jesse",Research Consultants,2020/07/01,2090.70
CENTRE DE FORMATION COCHRANE IROQUOIS-FALLS,Public Meeting Rooms,2020/07/01,100.00
LE5 COMMUNICATIONS INC.,Advertising,2020/07/01,111.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,289.79
Zoom,Licence Renewal,2020/07/08,20.00
Coldwell Banker Temiskaming Realty Ltd. Brokerage,Constit Office Lease Deposit,2020/07/13,900.00
TeckSavvy,Internet (COVID19),2020/07/16,44.95
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,10.56
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/07/22,155.04
Staples,"Office Supplies, Stationery and Accessories",2020/07/28,14.49
Staples,Toner,2020/07/28,133.99
Staples,Toner,2020/07/28,133.99
Staples,Computer Equipment,2020/07/28,379.99
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,2.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,64.00
ENCORE CLUB OF KIRKLAND LAKE INC.,Office Rental and Related Fees,2020/08/01,676.90
G.R. BELANGER ENTERPRISES LTD.,Office Rental and Related Fees,2020/08/01,2124.85
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,356.04
Zoom,Licence Renewal,2020/08/08,20.00
Canada Post,Postage and Parcel Post,2020/08/14,17.36
YELLOW PAGES GROUP,Advertising,2020/08/20,363.22
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/08/24,71.04
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/08/25,2010.00
Canada Post,Postage and Parcel Post,2020/08/27,17.04
"RINCON, RAUL",Communications Officer,2020/08/28,770.00
"Chartrand, Tina",Janitorial Services and Maintenance,2020/08/31,200.00
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/08/31,26.39
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/08/31,457.53
Grand & Toy,Bulk Paper Purchases,2020/08/31,39.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,64.00
ENCORE CLUB OF KIRKLAND LAKE INC.,Office Rental and Related Fees,2020/09/01,676.90
G.R. BELANGER ENTERPRISES LTD.,Office Rental and Related Fees,2020/09/01,2124.85
Publication Voyageur,Advertising,2020/09/02,63.00
Zoom,Licence Renewal,2020/09/08,20.00
Publication Voyageur,Advertising,2020/09/16,63.00
Canada Post – Postes Canada,Courier Services,2020/09/30,29.06
Azure Production Inc.,Office Rental and Related Fees,2020/10/01,900.00
G.R. BELANGER ENTERPRISES LTD.,Office Rental and Related Fees,2020/10/01,2124.85
