"Members – Detailed Contract Expenditures Report – Lebouthillier, Diane – Q2 2021"
Supplier,Description,Date,Total
Électro-informatique Michaud,Repair of Telecommunication Equipment,2020/04/13,59.3300
"Cité Hi-Tech, La","Office Supplies, Stationery and Accessories",2020/05/06,36.5700
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,15.9000
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,1054.0500
Imprimerie des Anses Inc.,"Householders ",2020/05/31,3624.0000
"Cité Hi-Tech, La","Office Supplies, Stationery and Accessories",2020/06/05,36.5700
École de musique Miransol,Advertising,2020/06/05,200.0000
Produits sanitaires des Îles Enr.,Consumable Items for Constituency Offices (COVID19),2020/06/05,13.4400
Jean Coutu,Consumable Items for Constituency Offices (COVID19),2020/06/09,59.3400
Jean Coutu,Consumable Items for Constituency Offices (COVID19),2020/06/12,8.6900
"Les distributions Leblanc ",Consumable Items for Constituency Offices (COVID19),2020/06/15,65.0000
Les Entreprises Vibe-O,Consumable Items for Constituency Offices (COVID19),2020/06/15,29.9800
TVCGR.com,Advertising,2020/06/15,200.0000
Fondation Cornélius-Brotherton,Advertising,2020/06/16,150.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
Journal Graffici,Advertising,2020/06/17,370.0000
RBC,Banking Fees and Cheque Orders,2020/06/18,11.1000
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/06/23,121.6400
Postes Canada,Postage and Parcel Post,2020/06/25,24.8700
Imprimerie le Radar Inc.,Advertising,2020/06/26,190.0000
BURO PLUS J.M ARSENAULT,Toner,2020/06/29,119.9400
Centre HI-FI,"Office Supplies, Stationery and Accessories",2020/06/30,202.9600
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,34.3000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,283.2200
Conseil de Fabrique St-Étienne,Advertising,2020/07/01,150.0000
DERYtelecom,Cable and Internet Fees,2020/07/01,66.9500
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.5300
Cogeco Connexion Inc.,Cable and Internet,2020/07/02,56.8900
Groupe Lexis Média Inc.,Advertising,2020/07/02,233.0000
"Spec Gaspé, The",Advertising,2020/07/02,175.0000
École secondaire Le Littoral,Advertising,2020/07/07,250.0000
Postes Canada,Postage and Parcel Post,2020/07/08,16.5700
Jean Coutu,"Office Supplies, Stationery and Accessories",2020/07/15,13.1500
"Ponchon 2020, Le",Advertising,2020/07/15,250.0000
Papeterie JSM,"Office Supplies, Stationery and Accessories",2020/07/16,19.0500
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.6600
Facebook,Advertising,2020/07/19,25.0000
Ville de New Richmond,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/20,15.8100
Le bon goût frais des Îles de la Madeleine,Advertising,2020/07/21,250.0000
Ville de New Richmond,Advertising,2020/07/21,150.0000
Châteaux de Sable des Îles,Advertising,2020/07/22,350.0000
Association des Campeurs des Îles de la Madeleine,Advertising,2020/07/29,250.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,283.2200
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,34.2000
DERYtelecom,Cable and Internet Fees,2020/08/01,66.9500
INVESTISSEMENTS BGM INC.,Office Rental and Related Fees,2020/08/01,1800.0000
Les Immeubles du Village Inc,Office Rental and Related Fees,2020/08/01,905.3600
MRC DE LA HAUTE-GASPÉSIE,Office Rental and Related Fees,2020/08/01,325.0000
Ville de New Richmond,Office Rental and Related Fees,2020/08/01,255.0000
Cogeco Connexion Inc.,Cable and Internet Fees,2020/08/02,56.8900
RBC,Banking Fees and Cheque Orders,2020/08/03,5.0000
BURO PLUS J.M ARSENAULT,Repair of Computer Equipment and Peripherals,2020/08/06,65.7400
FETE DU BOIS FLOTTÉ,Advertising,2020/08/11,500.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.0500
Facebook,Advertising,2020/08/19,70.1500
Au vieux Treuil,Advertising,2020/08/20,250.0000
ENTREPRISES DEZIEL DEA INC.,"Office Supplies, Stationery and Accessories",2020/08/20,29.9900
Prévention des Incendies des Iles inc.,Protection and Alarm Monitoring (Member's Office Budget),2020/08/20,215.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,283.2200
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,32.2000
DERYtelecom,Cable and Internet Fees,2020/09/01,66.9500
INVESTISSEMENTS BGM INC.,Office Rental and Related Fees,2020/09/01,1800.0000
Les Immeubles du Village Inc,Office Rental and Related Fees,2020/09/01,905.3600
MRC DE LA HAUTE-GASPÉSIE,Office Rental and Related Fees,2020/09/01,325.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.0600
Ville de New Richmond,Office Rental and Related Fees,2020/09/01,255.0000
Cogeco,Cable and Internet Fees,2020/09/02,56.8900
ESET,Licence Renewal,2020/09/03,39.9900
Canada Post – Postes Canada,Courier Services,2020/09/23,113.6300
INVESTISSEMENTS BGM INC.,Office Rental and Related Fees,2020/10/01,1800.0000
Les Immeubles du Village Inc,Office Rental and Related Fees,2020/10/01,905.3600
MRC DE LA HAUTE-GASPÉSIE,Office Rental and Related Fees,2020/10/01,325.0000
Ville de New Richmond,Office Rental and Related Fees,2020/10/01,255.0000
