"Members – Detailed Contract Expenditures Report – Powlowski, Marcus – Q2 2021"
Supplier,Description,Date,Total
SASI Spring Water,Spring Water,2020/04/22,36.00
Tbaytel,Cable and Internet Fees,2020/05/01,79.94
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,632.43
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,9.54
Tbaytel,Cable and Internet Fees,2020/06/01,79.94
Facebook,Advertising,2020/06/06,75.50
Sasi Spring Water,Spring Water,2020/06/08,39.00
ATIKOKAN PRINTING (1994) LTD.,Advertising,2020/06/15,264.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.39
Fort Frances General Supply,Consumable Items for Constituency Offices (COVID19),2020/06/17,85.40
Fort Frances General Supply,Consumable Items for Constituency Offices (COVID19),2020/06/19,54.40
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/06/23,62.88
T.Bay Post Inc.,Advertising,2020/06/25,350.00
NORTH SUPERIOR PUBLISHING INC.,Advertising,2020/06/26,300.00
Purolator,Courier Services,2020/06/26,84.89
Facebook,Advertising,2020/06/28,100.00
ATIKOKAN PRINTING (1994) LTD.,Advertising,2020/06/29,291.00
"CHRONICLE JOURNAL, THE",Advertising,2020/06/30,200.00
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,199.96
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,12.80
Bell Mobility – Bell Mobilité,Long Distance,2020/07/01,149.38
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,158.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.52
Tbaytel,Cable and Internet Fees,2020/07/01,79.94
Tbaytel,Cable and Internet Fees,2020/07/01,88.95
Facebook,Advertising,2020/07/06,30.00
Canada Post,Postage and Parcel Post,2020/07/12,18.49
ATIKOKAN PRINTING (1994) LTD.,Advertising,2020/07/13,114.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,150.06
Myant PPE Solutions,Consumable Items for Constituency Offices (COVID19),2020/07/16,261.05
Breeny's Auto Body Shop Ltd.,Constituency Office Reconfigurations and Fixtures (COVID19),2020/07/17,400.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,1.16
"Fatoumata, Diallo",Janitorial Services and Maintenance,2020/07/18,100.00
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/07/22,36.28
T.Bay Post Inc.,Advertising,2020/07/23,350.00
Facebook,Advertising,2020/07/26,100.00
"Fatoumata, Diallo",Janitorial Services and Maintenance,2020/07/26,100.00
ATIKOKAN PRINTING (1994) LTD.,Advertising,2020/07/27,264.00
SASI Spring Water,Spring Water,2020/07/27,39.00
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,191.91
