"Members – Detailed Contract Expenditures Report – Shields, Martin – Q2 2021"
Supplier,Description,Date,Total
Golden West Broadcasting Ltd.,Advertising,2020/03/31,400.00
Golden West Broadcasting Ltd.,Advertising,2020/03/31,945.00
Zoom,Licence Renewal,2020/04/01,20.00
Postmedia Payment Centre,Advertising,2020/04/11,60.00
Zoom,Licence Renewal,2020/05/09,20.00
Storm Internet,Internet (COVID19),2020/05/15,89.95
Storm Internet,Internet (COVID19),2020/05/15,89.95
Storm Internet,Internet (COVID19),2020/05/15,89.95
Telus,Internet (COVID19),2020/05/19,85.00
Telus,Internet (COVID19),2020/05/19,85.00
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,632.43
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,9.54
TechSavy,Internet (COVID19),2020/05/26,58.95
"Postmedia Payment Centre ",Advertising,2020/05/31,30.00
Backbone technology inc.,Web Site Hosting/Domain Name,2020/06/01,160.50
CCI Wireless,Internet (COVID19),2020/06/01,94.99
CCI Wireless,Internet (COVID19),2020/06/01,94.99
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,46.75
STRATHMORE TIMES,Advertising,2020/06/03,72.00
CAPITAL PRINTERS LTD.,Advertising,2020/06/05,84.00
"Water Pure & Simple ",Spring Water,2020/06/05,12.00
BASSANO PUBLISHERS,Advertising,2020/06/09,44.00
Zoom,Licence Renewal,2020/06/09,20.00
Walmart,"Office Supplies, Stationery and Accessories",2020/06/16,25.71
"Brooks Bulletin, The",Advertising,2020/06/17,100.00
Shaw Direct,Cable and Internet Fees,2020/06/20,221.95
Always $1.00,Gifts given as a matter of protocol,2020/06/22,403.20
ANCHOR MEDIA INC.,Advertising,2020/06/23,250.18
"Brooks Bulletin, The",Advertising,2020/06/23,100.00
CAPITAL PRINTERS LTD.,Advertising,2020/06/24,365.50
"Canada Post ",Postage and Parcel Post,2020/06/25,51.01
Teksavvy,Internet (COVID19),2020/06/26,58.95
Teksavvy,Internet (COVID19),2020/06/26,58.95
Bell,Internet (COVID19),2020/06/28,57.95
Bell,Internet (COVID19),2020/06/28,57.95
Stingray Radio Inc.,Advertising,2020/06/28,480.00
Stingray Radio Inc.,Advertising,2020/06/28,480.00
Golden West Broadcasting Ltd.,Advertising,2020/06/30,2310.00
Golden West Broadcasting Ltd.,Advertising,2020/06/30,400.00
Great West Newspapers,Advertising,2020/06/30,30.00
Great West Newspapers,Advertising,2020/06/30,30.00
"Great West Newspapers, LP",Advertising,2020/06/30,283.65
Lethbridge Herald,Advertising,2020/06/30,720.52
Aztek Security Co,Protection and Alarm Monitoring (Member's Office Budget),2020/07/01,45.00
Aztek Security Co.,Protection and Alarm Monitoring (Member's Office Budget),2020/07/01,25.00
Backbone technology inc.,Web Site Hosting/Domain Name,2020/07/01,160.50
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,197.32
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,32.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,16.79
Shaw Direct,Cable and Internet Fees,2020/07/08,197.95
zoom,Licence Renewal,2020/07/09,20.00
STRATHMORE TIMES,Advertising,2020/07/10,95.00
BASSANO PUBLISHERS,Advertising,2020/07/13,242.50
"Canada Post ",Postage and Parcel Post,2020/07/14,13.25
Great West Newspapers,Advertising,2020/07/14,40.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,2.14
Postmedia Payment Centre,Advertising,2020/07/18,32.50
Shaw Direct,Cable and Internet Fees,2020/07/20,221.95
Walmart,"Office Supplies, Stationery and Accessories",2020/07/20,34.96
Water Pure & Simple,Spring Water,2020/07/23,12.00
Stingray Radio Inc.,Advertising,2020/07/26,480.00
Stingray Radio Inc.,Advertising,2020/07/26,480.00
ANCHOR MEDIA INC.,Advertising,2020/07/27,87.70
"Brooks Bulletin, The",Advertising,2020/07/28,125.00
Golden West Broadcasting Ltd.,Advertising,2020/07/31,400.00
Lethbridge Herald,Advertising,2020/07/31,90.00
Lethbridge Herald,Advertising,2020/07/31,1.00
Aztek Security Co,Protection and Alarm Monitoring (Member's Office Budget),2020/08/01,25.00
Aztek Security Co,Protection and Alarm Monitoring (Member's Office Budget),2020/08/01,45.00
Backbone technology inc.,Web Site Hosting/Domain Name,2020/08/01,160.50
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,34.49
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,197.32
BROOKS & DISTRICT CHAMBER OF COMMERCE,Office Rental and Related Fees,2020/08/01,1140.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,29.75
STRATHMORE TIMES,Office Rental and Related Fees,2020/08/01,1250.00
STRATHMORE TIMES,Advertising,2020/08/05,34.00
Shaw Cable Payment Centre,Cable and Internet Fees,2020/08/08,197.95
Great West Newspapers,Advertising,2020/08/11,40.00
"Captital Printers ltd. ",Advertising,2020/08/12,42.00
Postmedia Payment Centre,Advertising,2020/08/15,27.50
BASSANO PUBLISHERS,Advertising,2020/08/18,24.00
Always $1.00,"Office Supplies, Stationery and Accessories",2020/08/19,5.00
Shaw Cable Payment Centre,Cable and Internet Fees,2020/08/20,271.90
