"Members – Detailed Contract Expenditures Report – Rood, Lianne – Q2 2021"
Supplier,Description,Date,Total
Rogers - staff member,Internet (COVID19),2020/04/17,78.9900
Facebook,Advertising,2020/05/16,30.0000
Facebook,Advertising,2020/05/17,30.0000
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,632.4300
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,9.5400
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,21.2500
Facebook,Advertising,2020/06/13,35.0000
Facebook,Advertising,2020/06/14,40.0000
Enbridge Union Gas,Public Utilities,2020/06/15,40.1900
Maria Costa,Janitorial Services and Maintenance,2020/06/15,400.0000
Rogers - staff member,Internet (COVID19),2020/06/17,78.9900
Cogeco,Cable and Internet Fees,2020/06/18,89.9500
Facebook,Advertising,2020/06/18,30.0000
Reman Corporation,Constituency Office Reconfigurations and Fixtures (COVID19),2020/06/19,480.0000
Hayter Publications INc,Advertising,2020/06/24,84.0000
Shoppers,"Office Supplies, Stationery and Accessories",2020/06/24,17.9700
The Herald,Advertising,2020/06/24,61.5600
Banner Publications,Advertising,2020/06/25,78.5300
Costco,"Office Supplies, Stationery and Accessories",2020/06/25,22.7900
Entegrus,Public Utilities,2020/06/25,114.7900
My Broadcasting Corp.,Advertising,2020/06/28,382.0000
FIVE AMIGOS BROADCASTING INC.,Advertising,2020/06/30,275.0000
Postmedia Network Inc.,Advertising,2020/06/30,228.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,192.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,36.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,25.5000
Canada Post,Courier Services,2020/07/06,49.1500
Copp's Buildall,Web Site Hosting/Domain Name,2020/07/06,55.0000
Rogers - office,Cable and Internet Fees,2020/07/09,115.8600
Walmart,"Office Supplies, Stationery and Accessories",2020/07/12,16.9700
Facebook,Advertising,2020/07/13,60.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,38.2000
Maria Costa,Janitorial Services and Maintenance,2020/07/15,400.0000
Enbridge Union Gas,Public Utilities,2020/07/16,38.5700
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,61.2900
Cogeco,Cable and Internet Fees,2020/07/18,89.9500
Pure Water Solutions,Spring Water,2020/07/20,19.5000
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/07/22,90.0000
Strathroy Audio Video,Repair of Office Equipment,2020/07/24,110.6200
My Broadcasting Corp.,Advertising,2020/07/26,382.0000
Costco,Consumable Items for Constituency Offices (COVID19),2020/07/29,49.9800
Costco,Cleaning Products,2020/07/29,28.6800
Entegrus,Public Utilities,2020/07/29,186.8500
FIVE AMIGOS BROADCASTING INC.,Advertising,2020/07/31,275.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,192.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,34.0000
PowerServe Capital Holdings Inc.,Office Rental and Related Fees,2020/08/01,800.0000
Reman Corporation,Office Rental and Related Fees,2020/08/01,2212.3900
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,25.5000
Shoppers,Spring Water,2020/08/02,1.9900
Copps Buildall,Web Site Hosting/Domain Name,2020/08/04,55.0000
Entegrus,Public Utilities,2020/08/05,184.0500
Costco,Computer Equipment,2020/08/07,139.9700
Rogers,Cable and Internet Fees,2020/08/09,115.8600
Maria Costa,Janitorial Services and Maintenance,2020/08/15,400.0000
Walmart,"Office Supplies, Stationery and Accessories",2020/08/17,5.9700
Cogeco,Cable and Internet Fees,2020/08/18,89.9500
Enbridge,Public Utilities,2020/08/18,37.6500
Canada Post – Postes Canada,Postage and Parcel Post,2020/08/20,279.5800
Best Buy,"Office Supplies, Stationery and Accessories",2020/08/25,59.9900
Bren-Sco,Janitorial Services and Maintenance,2020/08/27,30.0000
Dollarama,Cleaning Products,2020/08/27,23.8000
My Broadcasting Corp.,Advertising,2020/08/30,382.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,192.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,54.0000
PowerServe Capital Holdings Inc.,Office Rental and Related Fees,2020/09/01,800.0000
Reman Corporation,Office Rental and Related Fees,2020/09/01,2212.3900
Magnum Signs Inc.,Signage,2020/09/14,280.0000
Canada Post – Postes Canada,Courier Services,2020/09/23,17.8000
Canada Post – Postes Canada,Courier Services,2020/09/23,7.1600
PowerServe Capital Holdings Inc.,Office Rental and Related Fees,2020/10/01,800.0000
Reman Corporation,Office Rental and Related Fees,2020/10/01,2212.3900
