"Members – Detailed Contract Expenditures Report – Duguid, Terry – Q2 2021"
Supplier,Description,Date,Total
"Liberté, La",Advertising,2020/02/12,165.00
Dakota Community Centre Inc.,Advertising,2020/04/01,491.67
Maclean's Magazine,"Printed Matter, Books, Newspapers and Subscriptions",2020/04/03,9.99
WINNIPEG OUTDOOR MARKETING GROUP INC.,Advertising,2020/04/06,420.00
"Linguistica360, Inc","Office Supplies, Stationery and Accessories",2020/04/10,19.90
POP Communications Inc.,Advertising,2020/04/15,160.00
Royal Bank of Canada,Banking Fees and Cheque Orders,2020/04/24,14.50
Canstar Community News,Advertising,2020/04/25,187.50
"Coffee break Academy ","Printed Matter, Books, Newspapers and Subscriptions",2020/04/25,47.37
Access Information Management,Shredding,2020/04/30,70.73
"The Winnipeg jewish review ",Advertising,2020/04/30,25.00
WINNIPEG OUTDOOR MARKETING GROUP INC.,Advertising,2020/05/04,420.00
Apple,"Printed Matter, Books, Newspapers and Subscriptions",2020/05/05,14.99
Shaw Direct,Cable and Internet Fees,2020/05/08,170.54
Linguistics360,"Printed Matter, Books, Newspapers and Subscriptions",2020/05/10,19.90
Choice Communications,Advertising,2020/05/23,160.50
Royal Bank of Canada,Banking Fees and Cheque Orders,2020/05/25,9.50
All Nations Print Ltd.,"Householders ",2020/05/28,3997.75
Access Information Management,Shredding,2020/05/31,74.65
Bell MTS,Cable and Internet Fees,2020/06/01,67.85
BENCHMARK ADVERTISING LTD.,Advertising,2020/06/01,660.00
"INDO-CANADIAN TELEGRAM, THE",Advertising,2020/06/01,252.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,119.00
Winnipeg Free Press,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/01,133.53
WINNIPEG OUTDOOR MARKETING GROUP INC.,Advertising,2020/06/01,420.00
Maclean's Magazine,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/02,9.99
PAL (55+),Advertising,2020/06/04,200.00
MANITOBA CONSERVATION DISTRICTS ASSOC.,Advertising,2020/06/08,600.00
Shaw Direct,Cable and Internet Fees,2020/06/09,201.91
Linguistics360,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/10,19.90
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.39
Canstar Community News,Advertising,2020/06/20,288.83
"INDO-CANADIAN TELEGRAM, THE",Advertising,2020/06/21,252.00
Winnipeg Free Press,Advertising,2020/06/21,187.48
Molave Publishing Company Inc.,Advertising,2020/06/23,115.50
"Liberté, La",Advertising,2020/06/24,199.65
Marsmedia,Advertising,2020/06/24,370.00
Royal Bank of Canada,Banking Fees and Cheque Orders,2020/06/25,9.50
Staples,"Office Supplies, Stationery and Accessories",2020/06/25,10.69
Canstar Community News,Advertising,2020/06/27,288.83
Canstar Community News,Advertising,2020/06/27,288.83
WINNIPEG OUTDOOR MARKETING GROUP INC.,Advertising,2020/06/29,420.00
Access Information Management,Shredding,2020/06/30,74.65
"Shoppers ",Cleaning Products,2020/06/30,7.48
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,8.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,118.52
Bell MTS,Cable and Internet Fees,2020/07/01,66.16
BENCHMARK ADVERTISING LTD.,Advertising,2020/07/01,660.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.53
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,119.00
All Nations Print Ltd.,Constituency Mail,2020/07/03,2761.90
maclean's Magazine,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/06,9.99
National Observer,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/09,139.99
Shaw Direct,Cable and Internet Fees,2020/07/09,178.81
Linguistics360,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/10,19.90
MANITOBA HYDRO,Public Utilities,2020/07/10,135.52
Canada Post – Postes Canada,Postage and Parcel Post,2020/07/13,208.40
Quintex,Janitorial Services and Maintenance,2020/07/16,26.75
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.29
WINNIPEG JEWISH REVIEW,Advertising,2020/07/27,100.00
WINNIPEG OUTDOOR MARKETING GROUP INC.,Advertising,2020/07/27,420.00
Access Information Management,Shredding,2020/07/31,75.10
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,2.20
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,118.52
BENCHMARK ADVERTISING LTD.,Advertising,2020/08/01,660.00
Capital Property Management Inc.,Office Rental and Related Fees,2020/08/01,2223.35
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,159.00
Sobeys,Cleaning Products,2020/08/06,9.93
Shaw Direct,Cable and Internet Fees,2020/08/09,194.59
MANITOBA HYDRO,Public Utilities,2020/08/12,139.61
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.04
"INDO-CANADIAN TELEGRAM, THE",Advertising,2020/08/19,252.00
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/08/24,50.00
WINNIPEG OUTDOOR MARKETING GROUP INC.,Advertising,2020/08/24,420.00
Apple Canada Inc.,Repair of Telecommunication Equipment,2020/08/31,338.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,245.78
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,2.00
BENCHMARK ADVERTISING LTD.,Advertising,2020/09/01,660.00
Capital Property Management Inc.,Office Rental and Related Fees,2020/09/01,2223.35
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.06
Canada Post – Postes Canada,Courier Services,2020/09/23,10.32
Canada Post – Postes Canada,Courier Services,2020/09/23,10.12
Canada Post – Postes Canada,Courier Services,2020/09/23,18.37
Canada Post – Postes Canada,Courier Services,2020/09/23,7.25
Canada Post – Postes Canada,Courier Services,2020/09/23,19.46
Canada Post – Postes Canada,Courier Services,2020/09/23,14.41
Canada Post – Postes Canada,Courier Services,2020/09/23,95.83
Capital Property Management Inc.,Office Rental and Related Fees,2020/10/01,2223.35
