"Members – Detailed Contract Expenditures Report – Sajjan, Harjit S. – Q2 2021"
Supplier,Description,Date,Total
Costco,"Office Supplies, Stationery and Accessories",2020/02/22,33.4900
Staples,"Office Supplies, Stationery and Accessories",2020/04/06,54.5600
Choice Communication (Canada) Ltd.,Advertising,2020/05/23,195.5000
TELUS Communications Inc.,Cable and Internet Fees,2020/06/01,85.0000
Etsy,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/03,57.4800
Etsy,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/03,39.0000
Ikea,"Office Supplies, Stationery and Accessories",2020/06/04,95.0800
Ikea,Office Plants and Flowers,2020/06/04,80.6800
London Drugs,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/04,41.7200
London Drugs,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/04,49.2000
The Home Depot,Office Plants and Flowers,2020/06/04,23.5200
London Drugs,"Office Supplies, Stationery and Accessories",2020/06/06,150.8200
Gardenworks,Office Plants and Flowers,2020/06/08,16.0200
Sun Tai Sang Farm,Office Plants and Flowers,2020/06/08,32.0500
The East Side Revue,Advertising,2020/06/08,32.1000
Sherwin-Williams,"Office Supplies, Stationery and Accessories",2020/06/09,38.1900
Costco,Consumable Items for Constituency Offices (COVID19),2020/06/10,60.4100
Michaels,"Office Supplies, Stationery and Accessories",2020/06/10,44.3200
Canadian Tire,Consumable Items for Constituency Offices (COVID19),2020/06/13,79.9800
T&T Supermarket,Consumable Items for Constituency Offices (COVID19),2020/06/13,39.5700
Reyfort Publishing,Advertising,2020/06/15,71.4300
U-Hual Moving & Storage,Storage and Warehousing,2020/06/15,184.9500
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
London Drugs,"Framing, Outside Supplier",2020/06/18,42.7900
Urban Source,"Office Supplies, Stationery and Accessories",2020/06/18,13.8600
88 Supermarket,Consumable Items for Constituency Offices (COVID19),2020/06/19,27.7800
London Drugs,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/19,9.5700
Canadian Tire,Consumable Items for Constituency Offices (COVID19),2020/06/20,113.8500
Save-on-Foods,Promotional Items,2020/06/21,15.6900
Trendy Bucks,Office Plants and Flowers,2020/06/21,8.5500
Amazon,Office Furniture and Fixtures,2020/06/25,64.3300
Etsy,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/25,33.5000
London Drugs,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/25,74.8900
London Drugs,"Framing, Outside Supplier",2020/06/25,42.7900
88 Supermarket,Consumable Items for Constituency Offices (COVID19),2020/06/26,27.7800
Canadian Tire,Consumable Items for Constituency Offices (COVID19),2020/06/26,134.7000
London Drugs,"Consumable Items for Constituency Offices (COVID19) ",2020/06/26,30.0800
H&B Sign Ltd,Constituency Office Reconfigurations and Fixtures (COVID19),2020/06/29,513.6000
Sunflower Marketing,Advertising,2020/06/29,93.7500
Costco Wholesale,Voice Communication Equipment,2020/06/30,189.3400
