"Members – Detailed Contract Expenditures Report – Jowhari, Majid – Q2 2021"
Supplier,Description,Date,Total
SNAPD RICHMOND HILL,Advertising,2020/05/11,394.00
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,6.36
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,421.62
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,185.50
Bell Canada,Cable and Internet Fees,2020/06/05,84.90
SNAPD RICHMOND HILL,Advertising,2020/06/15,394.00
Zoom,Licence Renewal,2020/06/15,20.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.39
SEDA-YE IRAN,Advertising,2020/06/17,1500.00
GlamourGate Inc,"Householders ",2020/06/23,4227.75
Star Metroland Media,Advertising,2020/06/28,1170.00
SING TAO NEWSPAPERS(CANADA 1988) LIMITED,Advertising,2020/06/29,500.00
Mailchimp,Professional Communication Services,2020/06/30,84.26
TD Bank,Banking Fees and Cheque Orders,2020/06/30,10.95
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,60.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,8.00
Intact Insurance,Constituency Office Insurance,2020/07/01,109.80
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.53
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,181.04
Smart Security Services Inc.,Protection and Alarm Monitoring (Member's Office Budget),2020/07/02,50.85
Bell Canada,Cable and Internet Fees,2020/07/05,84.90
PRIMECONTACT INC.,Advertising,2020/07/07,635.28
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,41.00
Zoom,Licence Renewal,2020/07/15,20.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.37
SNAPD RICHMOND HILL,Advertising,2020/07/23,394.00
Staples Canada - Store # 155 Richmond Hill,External Printing Costs,2020/07/29,28.48
Mailchimp,Professional Communication Services,2020/07/31,82.69
TD Bank,Banking Fees and Cheque Orders,2020/07/31,10.95
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,60.00
Global Maxfin Developments Inc,Office Rental and Related Fees,2020/08/01,4166.66
Intact Insurance,Constituency Office Insurance,2020/08/01,109.80
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,282.29
Bell Canada,Cable and Internet Fees,2020/08/05,85.38
MAPLEGLOBAL MEDICAL SUPPLY INC.,Consumable Items for Constituency Offices (COVID19),2020/08/05,976.00
Smart Security Services Inc.,Protection and Alarm Monitoring (Member's Office Budget),2020/08/06,50.85
"Insightly Inc. ",Licence Renewal,2020/08/12,476.70
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.05
ZOOM,Licence Renewal,2020/08/15,20.00
Canada Post – Postes Canada,Postage and Parcel Post,2020/08/20,237.21
Costco Wholesale,"Office Supplies, Stationery and Accessories",2020/08/31,31.98
Grand & Toy,Bulk Paper Purchases,2020/08/31,13.99
Grand & Toy,Other Consumable Supplies From Stores,2020/08/31,9.68
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/08/31,63.27
MAILCHIMP,Professional Communication Services,2020/08/31,80.68
TD Bank,Banking Fees and Cheque Orders,2020/08/31,10.95
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,60.00
Global Maxfin Developments Inc,Office Rental and Related Fees,2020/09/01,4166.66
INTACT INSURANCE,Constituency Office Insurance,2020/09/01,109.80
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.06
Smart Security Services Inc.,Protection and Alarm Monitoring (Member's Office Budget),2020/09/01,50.85
Costco Wholesale,"Office Supplies, Stationery and Accessories",2020/09/02,53.98
Canada Post – Postes Canada,Postage and Parcel Post,2020/09/09,62.51
Canada Post – Postes Canada,Courier Services,2020/09/23,10.30
Canada Post – Postes Canada,Postage and Parcel Post,2020/09/25,154.22
Global Maxfin Developments Inc,Office Rental and Related Fees,2020/10/01,4166.66
