"Members – Detailed Contract Expenditures Report – Bergeron, Stéphane – Q2 2021"
Supplier,Description,Date,Total
GraVité Média,Advertising,2020/02/29,685.0000
ADL Entrepreneur électricien,Office Relocation,2020/03/04,85.0000
FADOQ RRSS,Advertising,2020/03/31,300.0000
D.C.Q. 2020-2021,Advertising,2020/04/09,125.0000
GraVité Média,Advertising,2020/05/30,415.0000
Bureau en gros,"Office Supplies, Stationery and Accessories",2020/06/08,124.9400
Costco Saint-Hubert,"Office Supplies, Stationery and Accessories",2020/06/08,99.1900
Adept Sportswear inc.,Promotional Items,2020/06/12,815.0000
TVRS,Advertising,2020/06/12,435.0000
Journal de la Relève Inc,Advertising,2020/06/16,402.0000
La Coop COMAX BMR Sainte-Julie (3438),Office Plants and Flowers,2020/06/21,55.6300
MATCO RAVARY - BMR DETAIL SEC,Consumable Items for Constituency Offices (COVID19),2020/06/22,88.9400
AS Systèmes d'accrochage,Constituency Office Reconfigurations and Fixtures (COVID19),2020/06/23,735.6700
"FM 103,3 LA RADIO ALLUMÉE",Advertising,2020/06/23,180.0000
Journal de la Relève Inc,Advertising,2020/06/23,584.0000
Journal de la Relève Inc,Advertising,2020/06/23,584.0000
"Versants, Les",Advertising,2020/06/24,557.0000
"Versants, Les",Advertising,2020/06/24,557.0000
STR Micro (9163-0970 Québec inc.),Computer Equipment,2020/06/25,51.9900
ADT Security Services Canada Inc. – Services de sécurité ADT Canada Inc.,"Security Equipment, Intercom and Alarm System (Central Budget)",2020/06/26,1500.0000
Vidéotron s.e.n.c,Cable and Internet Fees,2020/06/26,0.0100
GraVité Média,Advertising,2020/06/27,375.0000
Bureau en gros Beloeil,"Office Supplies, Stationery and Accessories",2020/06/29,324.0800
Parrainage civique de la Vallée-du-Richelieu,Advertising,2020/06/29,100.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,30.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,0.3000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,129.8400
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,28.0000
Entretien Ménager Michel Lefebvre,Consumable Items for Constituency Offices (COVID19),2020/07/01,260.0000
"Versants, Les",Advertising,2020/07/01,384.0000
"Versants, Les",Advertising,2020/07/01,809.0000
Bureau en gros,"Office Supplies, Stationery and Accessories",2020/07/07,24.4800
Home Hardware Sainte-Julie,"Office Supplies, Stationery and Accessories",2020/07/07,6.8900
Home Hardware Sainte-Julie,"Office Supplies, Stationery and Accessories",2020/07/07,27.5600
Adept Sportswear Inc,Promotional Items,2020/07/09,560.0000
Tecnima VL inc.,"Office Supplies, Stationery and Accessories",2020/07/09,234.2500
Bureau en gros,"Office Supplies, Stationery and Accessories",2020/07/10,22.9800
Bureau en gros,Computer Equipment,2020/07/10,146.2400
TVRS,Advertising,2020/07/10,435.0000
GraVité Média,Advertising,2020/07/11,685.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,84.4200
SNQ Richelieu-Saint-Laurent,Postage and Parcel Post,2020/07/17,9.2000
SNQ Richelieu-Saint-Laurent,Postage and Parcel Post,2020/07/17,28.8000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,1.5400
"CORPORATION DE LA FETE NATIONALE DE SAINT-HUBERT, LA",Advertising,2020/07/20,500.0000
Société internationale Veritas Acadie SIVA,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/21,45.0000
Société internationale Veritas Acadie SIVA,Freight,2020/07/21,21.0000
STERLING MARKING PRODUCTS INC,"Office Supplies, Stationery and Accessories",2020/07/21,40.6800
Vidéotron s.e.n.c,Cable and Internet Fees,2020/07/24,193.5200
Buro & Cie,"Office Supplies, Stationery and Accessories",2020/07/27,64.1500
9367-7888 Québec Inc.,Office Rental and Related Fees,2020/08/01,4500.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,129.8400
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,30.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,30.0000
HYDRO QUÉBEC,Public Utilities,2020/08/03,198.5000
Super Marché Riendeau Métro,Consumable Items for Constituency Offices (COVID19),2020/08/03,19.9600
Journal de la Relève Inc,Advertising,2020/08/04,584.0000
Desjardins,Banking Fees and Cheque Orders,2020/08/06,81.5900
Folie design Solutions d'affichage,Signage,2020/08/07,2075.0000
STR Micro (9163-0970 Québec inc.),Computer Equipment,2020/08/07,50.0000
Entretien Ménager Michel Lefebvre,Janitorial Services and Maintenance,2020/08/12,130.0000
Entretien Ménager Michel Lefebvre,Consumable Items for Constituency Offices (COVID19),2020/08/12,130.0000
Purolator inc.,Courier Services,2020/08/14,19.5000
CHOEUR PRATT & WHITNEY CANADA,Advertising,2020/08/17,250.0000
Canada Post – Postes Canada,Postage and Parcel Post,2020/08/20,246.0500
Miss Kiko,"Office Supplies, Stationery and Accessories",2020/08/23,6.9900
Noroi Distillerie,Consumable Items for Constituency Offices (COVID19),2020/08/26,80.8800
Vidéotron s.e.n.c,Cable and Internet Fees,2020/08/28,193.5200
9367-7888 Québec Inc.,Office Rental and Related Fees,2020/09/01,4500.0000
