"Members – Detailed Contract Expenditures Report – Khalid, Iqra – Q2 2021"
Supplier,Description,Date,Total
YOUNGS INSURANCE BROKERS INC.,Constituency Office Insurance,2020/04/01,1675.0000
URDU TIMES CANADA LTD.,Advertising,2020/04/08,200.0000
Pakistan News Inc.,Advertising,2020/04/25,200.0000
"Waste Management ",Public Utilities,2020/04/27,72.6600
Shared Services Canada –  Services partagés Canada,Changes - Services and/or Equipment (Telemanagement) - Federal Government Departments,2020/05/25,725.1500
ETHNIC MEDIA INC.,Advertising,2020/05/26,250.0000
Waste Management,Public Utilities,2020/05/26,71.5300
Mailchimp,Professional Communication Services,2020/06/01,74.9900
Media Market Canada Inc.,Advertising,2020/06/01,350.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,16.7900
Bell,Cable and Internet Fees,2020/06/05,160.3200
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
Ultimate Construction & Contracting,Office Renovations,2020/06/19,16825.8400
Ultimate Construction & Contracting,Office Renovations,2020/06/24,12455.0000
"Waste Management ",Public Utilities,2020/06/25,72.2900
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,196.7700
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,248.0000
CANADIAN ASIAN NEWS INC.,Advertising,2020/07/01,250.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.5300
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,16.7900
Tony Displays Inc,Promotional Items,2020/07/01,1855.0000
Urdu Post Inc.,Advertising,2020/07/02,200.0000
ZR Printing & Graphics Inc.,"Householders ",2020/07/03,3100.1100
Mailchimp,Professional Communication Services,2020/07/04,74.9900
Pakistan News Inc.,Advertising,2020/07/06,200.0000
PRIMECONTACT INC.,Professional Communication Services,2020/07/07,649.9700
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.2400
Toshiba Business Solutions,Repair of Computer Equipment and Peripherals,2020/07/22,59.2000
URDU Khabarnama Inc.,Advertising,2020/07/30,250.0000
CANADIAN ASIAN NEWS INC.,Advertising,2020/07/31,250.0000
Urdu Post Inc.,Advertising,2020/07/31,200.0000
2725312 Canada Inc.,Office Rental and Related Fees,2020/08/01,3269.4700
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,248.0000
Bell Mobility – Bell Mobilité,Long Distance,2020/08/01,3.1200
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,130.3000
Mailchimp,Professional Communication Services,2020/08/01,74.9900
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,16.7900
Pakistan News Inc,Advertising,2020/08/04,200.0000
Bell,Public Utilities,2020/08/05,60.7500
AKHBAAR E PAKISTAN INC.,Advertising,2020/08/07,250.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.0500
Enbridge,Public Utilities,2020/08/14,72.3900
Alectra,Public Utilities,2020/08/17,174.0600
Waste Management,Public Utilities,2020/08/25,241.5500
2725312 Canada Inc.,Office Rental and Related Fees,2020/09/01,3269.4700
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,114.8100
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,248.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.0600
Alectra,Public Utilities,2020/09/15,145.1300
Enbridge,Public Utilities,2020/09/15,72.9700
Costco,Consumable Items for Constituency Offices (COVID19),2020/09/16,243.3500
Canada Post – Postes Canada,Courier Services,2020/09/23,7.6100
Canada Post – Postes Canada,Courier Services,2020/09/23,5.9400
Canada Post – Postes Canada,Courier Services,2020/09/23,9.0200
Canada Post – Postes Canada,Courier Services,2020/09/23,5.6200
Canada Post – Postes Canada,Courier Services,2020/09/23,15.1600
Canada Post – Postes Canada,Courier Services,2020/09/23,5.4800
Canada Post – Postes Canada,Courier Services,2020/09/23,7.1800
Canada Post – Postes Canada,Postage and Parcel Post,2020/09/25,227.1700
2725312 Canada Inc.,Office Rental and Related Fees,2020/10/01,3269.4700
