"Members – Detailed Contract Expenditures Report – Lehoux, Richard – Q2 2021"
Supplier,Description,Date,Total
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,632.4300
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,9.5400
DISTRIBUTION DAKI 2008,Consumable Items for Constituency Offices (COVID19),2020/06/05,203.3500
Novalie,Consumable Items for Constituency Offices (COVID19),2020/06/05,71.8700
MAXI,"Office Supplies, Stationery and Accessories",2020/06/16,47.4400
Icimédias Inc.,Advertising,2020/06/17,418.0000
Icimédias Inc.,Advertising,2020/06/17,391.0000
Impression GP,External Printing Costs,2020/06/17,2628.8300
Novalie,Consumable Items for Constituency Offices (COVID19),2020/06/19,43.7500
Néomédia inc.,Advertising,2020/06/23,525.0000
HORTIBEAUCE,Office Plants and Flowers,2020/06/24,17.9700
LIBRAIRIE RENAUD-BRAY,"Office Supplies, Stationery and Accessories",2020/06/27,39.9000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,20.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,30.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,161.3800
Développement F.I. Sciences Inc.,Licence Renewal,2020/07/01,1485.0000
"Bouclair ",Office Decor,2020/07/07,17.9900
WALMART,Office Furniture and Fixtures,2020/07/07,93.5000
Icimédias Inc.,Advertising,2020/07/08,391.0000
Icimédias Inc.,Advertising,2020/07/08,418.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,476.8100
Canac,"Office Supplies, Stationery and Accessories",2020/07/15,8.4900
Les tissus de Naphtaline,Consumable Items for Constituency Offices (COVID19),2020/07/15,32.0000
LA SOURCE,"Office Supplies, Stationery and Accessories",2020/07/16,29.9900
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,3.4700
"BOUCLIER PRÉVENTION, LE",Advertising,2020/07/19,250.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/22,5.3200
10679313 Canada inc.,Advertising,2020/07/26,360.0000
Cogeco Connexion inc.,Cable and Internet Fees,2020/07/29,95.9500
9241-9282 Quebec Inc.,Office Rental and Related Fees,2020/08/01,2690.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,30.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,161.3800
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,32.0000
Promenades St-Georges Inc.,Office Rental and Related Fees,2020/08/01,650.0000
LES TISSUS DE NAPHTALINE,Consumable Items for Constituency Offices (COVID19),2020/08/07,24.0000
ENCADREMENTS STE-MARIE,"Framing, Outside Supplier",2020/08/12,58.0000
IGA,Cleaning Products,2020/08/19,46.0700
Cogeco Connexion inc.,Cable and Internet Fees,2020/08/29,66.9400
9241-9282 Quebec Inc.,Office Rental and Related Fees,2020/09/01,2690.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,30.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,161.3800
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,30.0000
Cable-Axion Digitel Inc,Cable and Internet Fees,2020/09/01,45.5000
Développement F.I. Sciences Inc.,Licence Renewal,2020/09/01,990.0000
Promenades St-Georges Inc.,Office Rental and Related Fees,2020/09/01,650.0000
Super C,Cleaning Products,2020/09/13,3.9900
Copie Extra,"Office Supplies, Stationery and Accessories",2020/09/21,10.9900
Canada Post – Postes Canada,Courier Services,2020/09/23,9.6300
Canada Post – Postes Canada,Courier Services,2020/09/23,39.3300
Canada Post – Postes Canada,Courier Services,2020/09/23,11.9700
Canada Post – Postes Canada,Courier Services,2020/09/23,10.5500
Canada Post – Postes Canada,Courier Services,2020/09/23,10.0300
Canada Post – Postes Canada,Courier Services,2020/09/23,8.9600
Canada Post – Postes Canada,Courier Services,2020/09/30,7.3900
9241-9282 Quebec Inc.,Office Rental and Related Fees,2020/10/01,2690.0000
Promenades St-Georges Inc.,Office Rental and Related Fees,2020/10/01,650.0000
