"Members – Detailed Contract Expenditures Report – Easter, Wayne – Q2 2021"
Supplier,Description,Date,Total
technomedia,Web Site Hosting/Domain Name,2020/04/14,90.0000
Konica Minolta,Photocopier Rental and Related Costs,2020/05/16,787.5000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
Maritime electric,Public Utilities,2020/06/19,121.5800
SALTWIRE NETWORK INC.,Advertising,2020/06/20,371.2500
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/06/23,97.4400
Bell Aliant,Monthly Phone Service,2020/06/24,78.7500
PEI MUTUAL INSURANCE COMPANY,Constituency Office Insurance,2020/06/24,433.0000
Grand & Toy,Cleaning Products,2020/06/30,15.8200
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,175.8000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,53.9000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.5300
EASTLINK,Cable and Internet Fees,2020/07/03,199.9500
EASTLINK,Cable and Internet Fees,2020/07/10,83.3200
Island pure waters,Spring Water,2020/07/13,22.5000
hunter river pharmacy,Cleaning Products,2020/07/16,17.9500
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.1600
maritime electric,Public Utilities,2020/07/22,153.9300
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/07/22,54.0800
Bellaliant,Monthly Phone Service,2020/07/24,79.3900
Apple Canada Inc.,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/27,54.9900
Grand & Toy,Other Consumable Supplies From Stores,2020/07/31,16.8200
Grand & Toy,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/07/31,15.6900
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,153.4000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,68.0000
"PARKMAN, DEBRA",Office Rental and Related Fees,2020/08/01,1200.0000
EASTLINK,Cable and Internet Fees,2020/08/03,199.9500
EASTLINK,Cable and Internet Fees,2020/08/10,83.3200
Hunter River Pharmacy,"Office Supplies, Stationery and Accessories",2020/08/10,12.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.0400
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/08/13,127.4500
Evernote,"Printed Matter, Books, Newspapers and Subscriptions",2020/08/14,67.4900
Staples Canada,"Office Supplies, Stationery and Accessories",2020/08/14,15.3800
Konica Minolta,Photocopier Rental and Related Costs,2020/08/16,851.2800
maritime Electric,Public Utilities,2020/08/21,155.6800
Bell aliant,Monthly Phone Service,2020/08/24,78.7500
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/08/24,244.8000
Staples,"Office Supplies, Stationery and Accessories",2020/08/29,11.9800
Konica Minolta,Photocopier Rental and Related Costs,2020/08/31,226.2800
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,153.4000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,127.7100
hunter River pharmacy,Cleaning Products,2020/09/01,27.6500
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.0600
"PARKMAN, DEBRA",Office Rental and Related Fees,2020/09/01,1200.0000
EASTLINK,Cable and Internet Fees,2020/09/03,199.9500
Circle K,"Office Supplies, Stationery and Accessories",2020/09/09,14.9900
Circle K,"Office Supplies, Stationery and Accessories",2020/09/09,14.9900
Island Press Ltd,Advertising,2020/09/16,324.1600
hunter river pharmacy,"Office Supplies, Stationery and Accessories",2020/09/17,42.9800
EASTLINK,Cable and Internet,2020/09/18,83.3200
Canada Post – Postes Canada,Courier Services,2020/09/23,46.3900
Canada Post – Postes Canada,Courier Services,2020/09/23,24.2200
Canada Post – Postes Canada,Courier Services,2020/09/23,16.4700
Canada Post – Postes Canada,Courier Services,2020/09/23,26.8700
Canada Post – Postes Canada,Courier Services,2020/09/23,19.3800
Canada Post – Postes Canada,Courier Services,2020/09/23,19.4800
Canada Post – Postes Canada,Courier Services,2020/09/23,10.5700
"PARKMAN, DEBRA",Office Rental and Related Fees,2020/10/01,1200.0000
