"Members – Detailed Contract Expenditures Report – Freeland, Chrystia – Q2 2021"
Supplier,Description,Date,Total
CORRIERE CANADESE INC.,Advertising,2020/04/09,256.0000
Rogers,Cable and Internet Fees,2020/04/23,114.9900
XEROX CANADA LTD,Photocopier Rental and Related Costs,2020/04/23,147.8100
E.B. Maintenance,Janitorial Services and Maintenance,2020/05/04,320.0000
XEROX CANADA LTD,Photocopier Rental and Related Costs,2020/05/22,134.0400
Rogers,Cable and Internet Fees,2020/05/23,114.9900
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.1800
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.8100
E.B. Maintenance,Janitorial Services and Maintenance,2020/05/29,320.0000
LoSpecchio,"Advertising ",2020/05/29,151.1500
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,307.2500
Rogers Wireless – Rogers sans-fil,Long Distance,2020/06/01,73.5000
CORRIERE CANADESE INC.,Advertising,2020/06/02,256.0000
XEROX CANADA LTD,Photocopier Rental and Related Costs,2020/06/08,133.8500
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
Rogers,Cable and Internet Fees,2020/06/23,114.9900
XEROX CANADA LTD,Photocopier Rental and Related Costs,2020/06/29,134.1500
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,24.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.5300
Rogers Wireless – Rogers sans-fil,Long Distance,2020/07/01,12.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,337.2500
Canada Post,Postage and Parcel Post,2020/07/16,39.9000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.4500
Rogers,Cable and Internet Fees,2020/07/23,114.9900
XEROX CANADA LTD,Photocopier Rental and Related Costs,2020/07/27,139.5500
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,24.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,15.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,423.2500
STARBANK DEVELOPMENTS 350 CORP.,Office Rental and Related Fees,2020/08/01,3190.4200
E.B. Maintenance,Janitorial Services and Maintenance,2020/08/04,320.0000
JONES DESLAURIERS INS MGMT INC.,Constituency Office Insurance,2020/08/10,1534.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.0500
No Frills,"Office Supplies, Stationery and Accessories",2020/08/19,25.4300
Rogers,Cable and Internet Fees,2020/08/23,114.9900
Apple Canada Inc.,Repair of Telecommunication Equipment,2020/08/25,169.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,24.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.0600
STARBANK DEVELOPMENTS 350 CORP.,Office Rental and Related Fees,2020/09/01,3190.4200
Canada Post – Postes Canada,Courier Services,2020/09/30,18.0000
STARBANK DEVELOPMENTS 350 CORP.,Office Rental and Related Fees,2020/10/01,3190.4200
