"Members – Detailed Contract Expenditures Report – Finnigan, Pat – Q2 2021"
Supplier,Description,Date,Total
MADD Canada,Advertising,2020/03/31,279.0000
ROGERS,Internet (COVID19),2020/03/31,50.0000
ROGERS,Internet (COVID19),2020/03/31,100.0000
ROGERS,Internet (COVID19),2020/03/31,50.0000
BELL CONFERENCING INC.,Voice and Data Plan for Mobile Devices,2020/04/16,10.0000
ROGERS,Internet (COVID19),2020/04/30,50.0000
Groupe Maskatel,Internet (COVID19),2020/05/21,50.0000
Bell Aliant,Internet (COVID19),2020/05/24,50.0000
ACADIE NOUVELLE LTÉE,Advertising,2020/06/09,350.0000
RURAL COMMUNITY OF UPPER MIRAMICHI,Advertising,2020/06/09,20.0000
LIFE RADIO,Advertising,2020/06/11,240.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
ACADIE NOUVELLE LTÉE,Advertising,2020/06/19,146.0000
"BELL                        ",Cable and Internet Fees,2020/06/20,77.7500
BRUNSWICK NEWS INC.,Advertising,2020/06/20,848.0000
ZOOM,Voice and Data Plan for Mobile Devices,2020/06/22,160.0000
GRAND LAKE MIRROR LTD.,Advertising,2020/06/23,384.0000
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/06/23,168.2400
Bell Aliant,Internet (COVID19),2020/06/24,50.0000
MATCH-IT SUPPLIES,Consumable Items for Constituency Offices (COVID19),2020/06/26,150.6500
BRUNSWICK NEWS INC.,Advertising,2020/06/27,212.0000
ACADIE NOUVELLE LTÉE,Advertising,2020/06/29,146.0000
ACADIE NOUVELLE LTÉE,Advertising,2020/06/30,146.0000
ROGERS,Internet (COVID19),2020/06/30,50.0000
ROGERS,Cable and Internet Fees,2020/06/30,75.0000
VILLAGE DE ROGERSVILLE,Advertising,2020/06/30,35.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,252.1200
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,193.1200
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.5300
"RURAL COMMUNITY OF UPPER MIRAMICHI ",Advertising,2020/07/02,20.0000
BRUNSWICK NEWS INC.,Advertising,2020/07/04,1695.0000
ACADIE NOUVELLE LTÉE,Advertising,2020/07/06,146.0000
BELL CONFERENCING INC.,Voice and Data Plan for Mobile Devices,2020/07/07,80.0000
MCG Media,Advertising,2020/07/08,674.1000
BRUNSWICK NEWS INC.,Advertising,2020/07/11,448.0000
Bell Aliant,Cable and Internet Fees,2020/07/12,786.9500
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,5.7900
CLEARSIGHT AUTO GLASS LTD,Constituency Office Reconfigurations and Fixtures (COVID19),2020/07/14,740.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.9200
BELL TV,Cable and Internet Fees,2020/07/20,77.7500
GRAND LAKE MIRROR LTD.,Advertising,2020/07/20,192.0000
Bell Aliant,Internet (COVID19),2020/07/24,50.0000
