"Members – Detailed Contract Expenditures Report – Kwan, Jenny – Q2 2021"
Supplier,Description,Date,Total
Dahong Pilipino,Advertising,2020/03/02,64.7000
Wong's Insurance,Constituency Office Insurance,2020/03/18,150.0000
NetFore Systems,Licence Renewal,2020/04/01,4000.0000
Judith Diesta,Janitorial Services and Maintenance,2020/04/03,160.0000
RBC,Banking Fees and Cheque Orders,2020/04/14,15.9500
Nation Builder,Professional Communication Services,2020/04/25,84.9400
NationBuilder,Professional Communication Services,2020/04/25,77.6300
The Home Depot,"Office Supplies, Stationery and Accessories",2020/04/27,30.6900
AM1320,Advertising,2020/04/30,500.0000
AM1470 Fairchild Radio,Advertising,2020/04/30,1000.0000
Angela & Gabriels' Flowers Inc.,Gifts given as a matter of protocol,2020/04/30,71.4300
Facebook,Advertising,2020/04/30,300.0000
Judith Diesta,Janitorial Services and Maintenance,2020/05/05,160.0000
BC Hydro,Public Utilities,2020/05/06,544.6400
RBC,Banking Fees and Cheque Orders,2020/05/14,15.9500
Globe and Mail,"Printed Matter, Books, Newspapers and Subscriptions",2020/05/20,29.3600
Globe and Mail,"Printed Matter, Books, Newspapers and Subscriptions",2020/05/21,29.3600
Shaw,Cable and Internet Fees,2020/05/21,483.0000
T&T,"Printed Matter, Books, Newspapers and Subscriptions",2020/05/22,0.5200
Zoom,Licence Renewal,2020/05/22,200.0000
7-11,"Printed Matter, Books, Newspapers and Subscriptions",2020/05/23,0.9500
Canada Times,Advertising,2020/05/23,100.0000
Nation Builder,Professional Communication Services,2020/05/25,84.9800
London Drugs,"Office Supplies, Stationery and Accessories",2020/05/26,38.4300
London Drugs,Appliances,2020/05/26,53.9300
London Drugs,Appliances,2020/05/26,26.7000
Canada Post,Courier Services,2020/06/01,21.5500
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,204.5000
7-11,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/05,1.9000
RBC,Banking Fees and Cheque Orders,2020/06/12,15.9500
Globe and Mail,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/17,29.3600
Shaw,Cable and Internet Fees,2020/06/21,154.0300
INTER PRINT LTD.,"Householders ",2020/06/23,7388.3500
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/06/23,22.0200
Nation Builder,Professional Communication Services,2020/06/25,82.6900
Reyfort Publishing,Advertising,2020/06/26,300.0000
Rise Media,Advertising,2020/06/26,200.0000
7-11,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/27,1.9000
7-11,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/28,2.3800
Ming Pao,Advertising,2020/06/30,607.6000
Ming Pao,Advertising,2020/06/30,225.0000
Sing Tao,Advertising,2020/06/30,450.0000
Sing Tao,Advertising,2020/06/30,225.0000
7-11,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/01,1.9000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,10.4000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,24.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,224.1500
Lowe's,"Office Supplies, Stationery and Accessories",2020/07/02,12.8300
7-11,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/03,1.9000
Sach Di Awaaz Newspaper,Advertising,2020/07/03,250.0000
Thoi Bao,Advertising,2020/07/03,175.0000
BC Hydro,Public Utilities,2020/07/07,85.7200
INTER PRINT LTD.,Constituency Mail,2020/07/10,7272.6000
Canada Post – Postes Canada,Postage and Parcel Post,2020/07/13,742.1800
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,103.5800
RBC,Banking Fees and Cheque Orders,2020/07/14,15.9500
Globe and Mail,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/15,29.3600
Judith Diesta,Janitorial Services and Maintenance,2020/07/15,160.0000
IKEA,Courier Services,2020/07/16,52.4300
IKEA,Office Furniture and Fixtures,2020/07/16,149.7800
IKEA,Office Furniture and Fixtures,2020/07/16,276.0600
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.5500
DomainsCanada.ca,Web Site Hosting/Domain Name,2020/07/20,70.0000
Shaw,Cable and Internet Fees,2020/07/21,154.5600
RBC,Banking Fees and Cheque Orders,2020/07/23,3.5000
Canada Times,Advertising,2020/07/25,125.0000
Nation Builder,Web Site Hosting/Domain Name,2020/07/25,122.6800
Glacier Media Group,Advertising,2020/07/28,373.7500
FuTeech Sign Supplies & Store Fixtures Inc.,Constituency Office Reconfigurations and Fixtures (COVID19),2020/07/31,1765.5000
Grand & Toy,Cleaning Products,2020/07/31,-3.9500
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,24.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,0.5000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,262.5000
"Soo, Jenny",Office Rental and Related Fees,2020/08/01,2323.0000
Judith Diesta,Janitorial Services and Maintenance,2020/08/07,160.0000
finest window fashions co.,Office Renovations,2020/08/12,784.3100
