"Members – Detailed Contract Expenditures Report – Trudel, Denis – Q2 2021"
Supplier,Description,Date,Total
Victor Charbonneau,Gifts given as a matter of protocol,2019/12/06,35.0000
Victor Charbonneau,"Office Supplies, Stationery and Accessories",2019/12/06,168.0000
Hockey les Sages Rive-sud,Advertising,2020/04/08,500.0000
FACEBOOK,Advertising,2020/04/11,20.0000
Jean Coutu,Consumable Items for Constituency Offices (COVID19),2020/04/29,82.9600
"Caisse Desjardins ",Banking Fees and Cheque Orders,2020/04/30,5.0000
"Caisse Desjardins ",Banking Fees and Cheque Orders,2020/04/30,1.2500
Centre Petite Échelle,Advertising,2020/04/30,500.0000
FACEBOOK,Advertising,2020/05/01,100.0000
Les Cuisiners Différents,Advertising,2020/05/05,500.0000
Métro Plus,Cleaning Products,2020/05/06,5.0000
FACEBOOK,Advertising,2020/05/07,70.0000
"ROSSIGNOL, KARINE",Professional Communication Services,2020/05/08,600.0000
Alarme SL,Protection and Alarm Monitoring (Member's Office Budget),2020/05/20,145.0000
GraVité Média,Advertising,2020/05/23,625.0000
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.8100
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.1800
Furia Marketing,Professional Communication Services,2020/05/26,130.0000
Pharmacie Cloutier Rousseau et Fortin,Consumable Items for Constituency Offices (COVID19),2020/05/29,54.9900
Walmart,Consumable Items for Constituency Offices (COVID19),2020/06/01,25.8500
Dollarama,Cleaning Products,2020/06/02,15.5000
Walmart,Consumable Items for Constituency Offices (COVID19),2020/06/02,131.7900
Walmart,Consumable Items for Constituency Offices (COVID19),2020/06/02,28.9400
"ROSSIGNOL, KARINE",Professional Communication Services,2020/06/05,600.0000
TABLE ITINÉRANCE RIVE-SUD,Advertising,2020/06/05,250.0000
Bureau en Gros,"Office Supplies, Stationery and Accessories",2020/06/08,56.5700
Folie Design,Constituency Office Reconfigurations and Fixtures (COVID19),2020/06/08,445.0000
Carrefour Mousseau,Advertising,2020/06/09,500.0000
Mastervox Électronique,"Office Supplies, Stationery and Accessories",2020/06/09,4.9900
TVRS,Advertising,2020/06/09,435.0000
Bureau en Gros,"Office Supplies, Stationery and Accessories",2020/06/10,28.1800
PF Communications,Web Site Hosting/Domain Name,2020/06/11,270.0000
Vidéotron s.e.n.c,Cable and Internet Fees,2020/06/12,214.6200
Bureau en Gros,"Office Supplies, Stationery and Accessories",2020/06/15,136.1800
DoubleDose Design,Professional Communication Services,2020/06/15,160.0000
Bureau en Gros,"Office Supplies, Stationery and Accessories",2020/06/16,64.9500
Bureau en Gros,Postage and Parcel Post,2020/06/16,368.0000
Imprimerie Daniel,External Printing Costs,2020/06/16,510.0000
COSTCO WHOLESALE,"Television, Video and Fax",2020/06/19,98.8800
Théatre de la Ville,Advertising,2020/06/22,500.0000
"FM 103,3 LA RADIO ALLUMÉE",Advertising,2020/06/23,180.0000
Alarme SL,"Security Equipment, Intercom and Alarm System (Member's Office Budget)",2020/06/26,160.0000
GraVité Média,Advertising,2020/06/27,1315.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,159.8400
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,27.0000
"Maison Jacques-Ferron, La",Advertising,2020/07/02,300.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,135.9900
CESUMAS,Advertising,2020/07/14,300.0000
LA FONDATION DE LA MAISON DES JEUNES DE LONGUEUIL INC.,Advertising,2020/07/14,300.0000
"Barbaparents, Les",Advertising,2020/07/16,500.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.1800
Canada Post – Postes Canada,Postage and Parcel Post,2020/07/20,510.8400
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,44.6700
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,159.8400
PLL St-Jean Senc,Office Rental and Related Fees,2020/08/01,3118.0000
Vidéotron s.e.n.c,Cable and Internet Fees,2020/08/14,214.6200
Vidéotron s.e.n.c,Cable and Internet Fees,2020/08/14,214.6200
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,159.8400
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,49.0000
PLL St-Jean Senc,Office Rental and Related Fees,2020/09/01,3118.0000
Apple Canada Inc.,Repair of Telecommunication Equipment,2020/09/21,169.0000
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/09/22,2010.0000
Canada Post – Postes Canada,Courier Services,2020/09/23,5.2400
Canada Post – Postes Canada,Courier Services,2020/09/23,6.0300
Canada Post – Postes Canada,Courier Services,2020/09/23,5.1400
Canada Post – Postes Canada,Courier Services,2020/09/23,7.7000
Canada Post – Postes Canada,Courier Services,2020/09/23,8.1700
Canada Post – Postes Canada,Courier Services,2020/09/23,5.1400
Canada Post – Postes Canada,Courier Services,2020/09/23,5.2400
Canada Post – Postes Canada,Courier Services,2020/09/23,5.2400
Canada Post – Postes Canada,Courier Services,2020/09/23,5.5100
Canada Post – Postes Canada,Courier Services,2020/09/23,7.1800
PLL St-Jean Senc,Office Rental and Related Fees,2020/10/01,3118.0000
