"Members – Detailed Contract Expenditures Report – Fast, Ed – Q2 2021"
Supplier,Description,Date,Total
Coast Capital,Banking Fees and Cheque Orders,2020/06/01,10.0000
Coast Capital,Banking Fees and Cheque Orders,2020/06/01,10.0000
Coast Capital,Banking Fees and Cheque Orders,2020/06/01,8.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,233.6900
Rogers Wireless – Rogers sans-fil,Long Distance,2020/06/01,1.5000
Reyfort Publishing,Advertising,2020/06/20,29.4100
PATRIKA MEDIA LTD.,Advertising,2020/06/25,350.0000
Molly Maid,Janitorial Services and Maintenance,2020/06/26,82.8600
Shaw,Cable and Internet Fees,2020/06/27,329.9000
Black Press Media,Advertising,2020/06/30,249.6300
Grand & Toy,Cleaning Products,2020/06/30,105.8600
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,0.4000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,56.0000
Empyrion Technologies Inc.,Information Technology (IT) Support Officer,2020/07/01,52.4200
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,215.8400
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,113.0500
Molly Maid,Janitorial Services and Maintenance,2020/07/15,82.8600
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,3.4300
Shaw,Cable and Internet Fees,2020/07/27,329.9000
Molly Maid,Janitorial Services and Maintenance,2020/07/29,82.8600
Black Press Group Ltd.,Advertising,2020/07/31,252.7500
Grand & Toy,Digital Communication Equipment,2020/07/31,66.0400
Shred-It,Shredding,2020/07/31,101.7900
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,56.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,0.2000
CLEARBROOK GOLDEN AGE SOCIETY,Office Rental and Related Fees,2020/08/01,2522.4300
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,297.7500
Letterlock,Courier Services,2020/08/06,66.6700
URDU Journal,Advertising,2020/08/06,63.3800
Fraser Valley Alarm,Protection and Alarm Monitoring (Member's Office Budget),2020/08/12,50.2400
Molly Maid,Janitorial Services and Maintenance,2020/08/18,82.8600
Empyrion Technologies Inc.,Web Site Hosting/Domain Name,2020/08/19,287.8400
Apple Canada Inc.,Repair of Telecommunication Equipment,2020/08/25,169.0000
Apple Canada Inc.,Repair of Telecommunication Equipment,2020/08/27,169.0000
Shaw,Cable and Internet Fees,2020/08/27,329.9000
Black Press Group Ltd.,Advertising,2020/08/31,400.2500
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,56.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,35.0000
CLEARBROOK GOLDEN AGE SOCIETY,Office Rental and Related Fees,2020/09/01,2522.4300
Fraser Valley Alarm Services,Protection and Alarm Monitoring (Member's Office Budget),2020/09/01,74.8500
Molly Maid,Janitorial Services and Maintenance,2020/09/02,82.8600
Fraser Valley Wireless,"Office Supplies, Stationery and Accessories",2020/09/11,67.4200
Molly Maid,Janitorial Services and Maintenance,2020/09/17,82.8600
Canada Post – Postes Canada,Courier Services,2020/09/23,15.7800
Canada Post – Postes Canada,Courier Services,2020/09/23,19.4100
Canada Post – Postes Canada,Courier Services,2020/09/23,9.3300
Canada Post – Postes Canada,Courier Services,2020/09/23,11.0300
Canada Post – Postes Canada,Courier Services,2020/09/23,16.5100
Canada Post – Postes Canada,Courier Services,2020/09/23,14.7700
CLEARBROOK GOLDEN AGE SOCIETY,Office Rental and Related Fees,2020/10/01,2522.4300
