"Members – Detailed Contract Expenditures Report – Murray, Joyce – Q2 2021"
Supplier,Description,Date,Total
App Store,Computer Software,2020/05/11,58.8400
Zoom,Licence Renewal,2020/05/14,168.0000
Choice Communication (Canada) Ltd.,Advertising,2020/05/23,195.5000
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.1800
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.8200
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,168.7500
SHRED-IT INTERNATIONAL ULC.,Shredding,2020/06/07,92.6100
Zoom,Licence Renewal,2020/06/11,206.0000
reyfort publishing,Advertising,2020/06/15,71.4300
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
Ash Appliance Repair Ltd.,Repair of Office Equipment,2020/06/18,150.0000
"Printing House LTD, The",Constituency Mail,2020/06/18,4216.7500
Shaw Business,Cable and Internet Fees,2020/06/20,32.9400
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/06/23,11.6000
Facebook,Advertising,2020/06/24,70.0000
LONDON DRUGS,Cleaning Products,2020/06/24,2.9700
LONDON DRUGS,Computer Equipment,2020/06/24,40.4700
Vista Print,External Printing Costs,2020/06/24,49.2200
London Drugs,Voice Communication Equipment,2020/06/25,42.7900
Purolator,Courier Services,2020/06/26,47.0200
Facebook,Advertising,2020/06/27,70.0000
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,230.1600
LMP Publication Limited Partnership,Advertising,2020/06/30,200.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,8.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,128.1800
LinkedIn,Licence Renewal,2020/07/01,599.8800
NGP Van,Professional Communication Services,2020/07/01,40.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.5300
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,202.7500
HostPapa,Web Site Hosting/Domain Name,2020/07/06,19.9900
The Flower Factory,Gifts given as a matter of protocol,2020/07/07,50.0000
Facebook,Advertising,2020/07/09,25.0000
Facebook,Advertising,2020/07/09,57.1700
Hover,Web Site Hosting/Domain Name,2020/07/09,15.9900
Zoom,Licence Renewal,2020/07/11,206.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,62.1300
IGA,"Safety Supplies (fire extinguishers, first aid kits)",2020/07/15,6.2900
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.5500
Choice Communication (Canada) Ltd.,Advertising,2020/07/20,234.1100
Choice Communication (Canada) Ltd.,Advertising,2020/07/20,238.2100
Shaw Business,Cable and Internet Fees,2020/07/20,210.1300
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/07/22,8.4800
"Amazon ",Voice Communication Equipment,2020/07/24,19.9800
Facebook,Advertising,2020/07/28,7.1700
Facebook,Advertising,2020/07/28,25.0000
Facebook,Advertising,2020/07/28,42.8300
Facebook,Advertising,2020/07/28,25.0000
"GEORGIA STRAIGHT, THE",Advertising,2020/07/30,437.5000
Canada Post,Courier Services,2020/07/31,80.8800
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,98.3500
House of Commons – Chambre des communes,Language Training,2020/07/31,110.5600
House of Commons – Chambre des communes,Language Training,2020/07/31,110.5600
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,20.9800
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,125.6900
Bell Mobility – Bell Mobilité,Voice and data roaming fees for mobile devices,2020/08/01,25.0000
Burrard Pacific Realty & Management Inc.,Office Rental and Related Fees,2020/08/01,3442.8000
NGP VAN,Professional Communication Services,2020/08/01,40.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,219.7500
London Drugs,Cleaning Products,2020/08/05,14.9900
Katherine Madden,Other Training and Conferences,2020/08/07,50.0000
SHRED-IT INTERNATIONAL ULC.,Shredding,2020/08/07,92.6100
Zoom,Licence Renewal,2020/08/11,216.3000
Ministry of Justice,"Printed Matter, Books, Newspapers and Subscriptions",2020/08/12,50.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.0500
Showmark,"Printed Matter, Books, Newspapers and Subscriptions",2020/08/14,228.9200
Brugge Design,Advertising,2020/08/23,77.5000
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/08/24,1.5800
Canada Post,Courier Services,2020/08/25,21.9300
Mott Electric,Repair of Computer Equipment and Peripherals,2020/08/26,97.0000
Grand & Toy,Cleaning Products,2020/08/31,19.2300
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/08/31,73.8800
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,16.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,123.6000
Burrard Pacific Realty & Management Inc.,Office Rental and Related Fees,2020/09/01,3442.8000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.0500
Canada Post – Postes Canada,Courier Services,2020/09/23,12.2200
Canada Post – Postes Canada,Courier Services,2020/09/23,84.5300
Canada Post – Postes Canada,Courier Services,2020/09/23,34.3200
Canada Post – Postes Canada,Courier Services,2020/09/23,19.4100
Canada Post – Postes Canada,Courier Services,2020/09/23,14.7700
Canada Post – Postes Canada,Courier Services,2020/09/23,10.1800
Canada Post – Postes Canada,Courier Services,2020/09/23,12.0400
Canada Post – Postes Canada,Courier Services,2020/09/23,11.6400
Canada Post – Postes Canada,Courier Services,2020/09/30,72.4100
Canada Post – Postes Canada,Postage and Parcel Post,2020/09/30,273.7900
Burrard Pacific Realty & Management Inc.,Office Rental and Related Fees,2020/10/01,3442.8000
