"Members – Detailed Contract Expenditures Report – Tochor, Corey – Q2 2021"
Supplier,Description,Date,Total
Shaw Direct,Internet (COVID19),2020/02/08,119.7800
Xplornet,Internet (COVID19),2020/03/01,98.9200
St. Andrew's College,Advertising,2020/03/03,75.0000
Shaw Cable,Internet (COVID19),2020/03/08,119.7800
Xplornet,Internet (COVID19),2020/04/01,98.9200
Shaw Cable,Internet (COVID19),2020/04/08,119.7800
Xplornet,Internet (COVID19),2020/05/01,98.9200
"Shaw Cable ",Internet (COVID19),2020/05/08,119.7800
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,187.7500
Royal Bank of Canada,Banking Fees and Cheque Orders,2020/06/01,4.5000
Xplornet,Internet (COVID19),2020/06/01,98.9200
Reed Security,"Security Equipment, Intercom and Alarm System (Central Budget)",2020/06/11,315.8800
SASKTEL,Cable and Internet Fees,2020/06/16,111.2400
TekSavvy,Internet (COVID19),2020/06/24,72.2700
Ultra Print,Constituency Mail,2020/06/29,4124.4600
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,30.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,211.0000
Shaw Direct,Cable and Internet Fees,2020/07/01,203.0200
Tint King Window Tinting,Office Renovations,2020/07/01,391.1400
BAZAAR & NOVELTY,Promotional Items,2020/07/02,495.5500
"4IMPRINT, INC.","Office Supplies, Stationery and Accessories",2020/07/07,555.0000
"4IMPRINT, INC.",Freight,2020/07/07,26.3000
London Drugs,External Printing Costs,2020/07/07,15.2300
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,41.7300
Michaels,"Framing, Outside Supplier",2020/07/14,29.6700
Prairie Laser,Toner,2020/07/14,104.9400
SASKTEL,Cable and Internet,2020/07/16,111.2400
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.2500
Staples Canada,"Office Supplies, Stationery and Accessories",2020/07/21,5.0700
Real Canadian Superstore,Cleaning Products,2020/07/24,21.4200
TekSavvy,Internet (COVID19),2020/07/25,72.2700
Royal Bank of Canada,Banking Fees and Cheque Orders,2020/07/30,8.8500
Saskatchewan Seniors Mechanism,Advertising,2020/07/31,289.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,30.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,186.0000
Shaw Direct,Cable and Internet Fees,2020/08/01,203.0200
Victory Majors Investments Corp.,Office Rental and Related Fees,2020/08/01,3650.0000
Zoom Video Communications Inc.,Professional Communication Services,2020/08/04,169.6000
BAZAAR & NOVELTY,Promotional Items,2020/08/13,973.0800
SASKTEL,Cable and Internet,2020/08/16,111.2400
Canadian Tire,"Office Supplies, Stationery and Accessories",2020/08/18,63.5900
CREATIVE OUTDOOR ADVERTISING,Advertising,2020/08/26,151.2000
Royal Bank of Canada,Banking Fees and Cheque Orders,2020/08/28,10.0500
Grand & Toy,Cleaning Products,2020/08/31,9.7300
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/08/31,125.4500
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,30.0000
Shaw Direct,Cable and Internet Fees,2020/09/01,203.0200
Victory Majors Investments Corp.,Office Rental and Related Fees,2020/09/01,3650.0000
SPI Health & Safety,"Safety Supplies (fire extinguishers, first aid kits)",2020/09/04,56.2100
Postmedia Network Inc.,"Printed Matter, Books, Newspapers and Subscriptions",2020/09/10,480.0000
Rawlco Radio LTD,Advertising,2020/09/14,500.0000
SASKTEL,Cable and Internet,2020/09/16,111.2400
Costco Wholesale,Voice Communication Equipment,2020/09/21,31.7900
Canada Post – Postes Canada,Courier Services,2020/09/23,14.4100
Canada Post – Postes Canada,Courier Services,2020/09/23,10.1200
Canada Post – Postes Canada,Courier Services,2020/09/23,18.3700
Canada Post – Postes Canada,Courier Services,2020/09/23,12.6300
Canada Post – Postes Canada,Courier Services,2020/09/23,18.3700
Canada Post – Postes Canada,Courier Services,2020/09/23,110.5100
Canada Post – Postes Canada,Courier Services,2020/09/23,14.4800
Victory Majors Investments Corp.,Office Rental and Related Fees,2020/10/01,3650.0000
