"Members – Detailed Contract Expenditures Report – O'Connell, Jennifer – Q2 2021"
Supplier,Description,Date,Total
BELL CANADA,Cable and Internet Fees,2020/03/15,105.9500
"UXBRIDGE COSMOS, THE",Advertising,2020/04/02,380.0000
Rogers,Internet (COVID19),2020/04/03,22.4900
BELL CANADA,Cable and Internet Fees,2020/04/15,105.9500
Rogers,Cable and Internet Fees,2020/04/18,55.4600
Elexicon Energy,Public Utilities,2020/04/24,65.8700
BELL CANADA,Cable and Internet Fees,2020/05/01,296.0000
Rogers,Internet (COVID19),2020/05/03,22.4900
DAE Consulting Inc.,Repair of Computer Equipment and Peripherals,2020/05/13,234.2500
BELL CANADA,Cable and Internet Fees,2020/05/15,105.9500
Canada Post,Courier Services,2020/05/25,25.6900
Canada Post,Courier Services,2020/05/25,22.9900
Rogers Wireless – Rogers sans-fil,Long Distance,2020/06/01,0.7500
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,126.7900
Snapd Inc,Advertising,2020/06/01,265.0000
PRINT ME DESIGN,Householders,2020/06/02,2020.9300
Rogers,Internet (COVID19),2020/06/03,22.4900
BELL CANADA,Cable and Internet Fees,2020/06/15,105.9500
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
Canada Post,Courier Services,2020/06/17,16.5000
Home Depot,"Office Supplies, Stationery and Accessories",2020/06/18,47.7900
"UXBRIDGE COSMOS, THE",Advertising,2020/06/22,185.0000
Durham Citizen,Advertising,2020/06/23,600.0000
Star Metroland Media,Advertising,2020/06/28,581.0000
Walmart Canada,"Office Supplies, Stationery and Accessories",2020/06/28,20.9200
Grand & Toy,Cleaning Products,2020/06/30,171.9500
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,24.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.5200
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,130.7900
Snapd Inc,Advertising,2020/07/01,265.0000
Bell,Cable and Internet,2020/07/15,142.9000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.1000
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,14.2000
House of Commons – Chambre des communes,Language Training,2020/07/31,82.9200
House of Commons – Chambre des communes,Language Training,2020/07/31,110.5600
1154 Kingston Group Inc.,Office Rental and Related Fees,2020/08/01,2388.3000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,24.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,205.5400
Amazon,Office Furniture and Fixtures,2020/08/06,269.8800
Structube,Office Furniture and Fixtures,2020/08/06,299.0000
Wayfair,Office Furniture and Fixtures,2020/08/06,539.9900
Amazon,Photographic Equipment,2020/08/10,157.9900
Amazon,"Office Supplies, Stationery and Accessories",2020/08/10,41.3100
Canadian Standard,Office Renovations,2020/08/12,46860.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.0500
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/08/24,8.4400
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/08/31,318.9900
1154 Kingston Group Inc.,Office Rental and Related Fees,2020/09/01,2388.3000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,24.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.0500
Canada Post – Postes Canada,Courier Services,2020/09/23,7.9100
Canada Post – Postes Canada,Courier Services,2020/09/23,5.5900
Canada Post – Postes Canada,Courier Services,2020/09/23,7.6100
Canada Post – Postes Canada,Courier Services,2020/09/23,7.0800
Canada Post – Postes Canada,Courier Services,2020/09/23,7.0800
Canada Post – Postes Canada,Courier Services,2020/09/23,7.2100
Canada Post – Postes Canada,Courier Services,2020/09/23,15.4400
Canada Post – Postes Canada,Courier Services,2020/09/23,7.1800
1154 Kingston Group Inc.,Office Rental and Related Fees,2020/10/01,2388.3000
