"Members – Detailed Contract Expenditures Report – Desbiens, Caroline – Q2 2021"
Supplier,Description,Date,Total
Autour de l'île,Advertising,2019/12/19,512.5300
AUTONHOMMIE,Advertising,2020/04/15,375.0000
Ville de Saguenay,External Printing Costs,2020/04/20,326.3700
Chasse aux trésors de Charlevoix,Advertising,2020/05/01,200.0000
Vidéotron s.e.n.c,Cable and Internet Fees,2020/05/08,147.9500
Vidéotron s.e.n.c,Cable and Internet Fees,2020/05/08,147.9500
Centre de crise de Quebec,Advertising,2020/05/14,250.0000
GROUPE CAPITALES MEDIAS,Advertising,2020/05/16,400.0000
Imprimerie Blouin Inc,"Householders ",2020/05/19,1695.0000
Alain Bilodeau,Janitorial Services and Maintenance,2020/05/20,80.0000
Groupe Gilles Jean,Office Decor,2020/05/20,77.9800
Autour de l'île,Advertising,2020/05/21,240.9400
Les Services Aqua-Verre inc.,Janitorial Services and Maintenance,2020/05/21,23.0000
Journal ici l'info,Advertising,2020/05/22,325.0000
Papeterie St-Gilles,Advertising,2020/05/22,500.0000
Luniv'air Atelier Ludovic Gervais,Gifts given as a matter of protocol,2020/05/25,600.0000
Postes Canada,Office Relocation,2020/05/25,260.0500
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,632.4300
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,9.5400
Société d'histoire de Charlevoix,Advertising,2020/05/25,300.0000
Alain Bilodeau,Janitorial Services and Maintenance,2020/05/27,80.0000
Bell Canada,Internet (COVID19),2020/05/27,129.9000
Louis Laliberté,Photography and Video Services,2020/05/27,200.0000
Fleuriste Beau-Pré,Gifts given as a matter of protocol,2020/05/28,125.0000
ALARME ET SECURITE DYNAMIQUE,"Security Equipment, Intercom and Alarm System (Member's Office Budget)",2020/06/02,176.0000
ANCRAGE ISLE-AU-COUDRES,Advertising,2020/06/02,200.0000
Canadian Tire La Malbaie,Moving Supplies,2020/06/02,4.9900
Imprimerie de Charlevoix (Hamster),"Office Supplies, Stationery and Accessories",2020/06/02,45.0000
Alain Bilodeau,Janitorial Services and Maintenance,2020/06/03,80.0000
Vidéotron s.e.n.c,Cable and Internet Fees,2020/06/05,147.9500
Vidéotron s.e.n.c,Cable and Internet Fees,2020/06/05,147.9500
Le Choeur de L'Isle d'Orléans,Advertising,2020/06/07,100.0000
Groupe Gilles Jean,Office Decor,2020/06/09,53.9900
Alain Bilodeau,Janitorial Services and Maintenance,2020/06/10,80.0000
Costco,"Office Supplies, Stationery and Accessories",2020/06/10,36.9900
Groupe Gilles Jean,Office Decor,2020/06/11,40.4900
Autour de l'île,Advertising,2020/06/16,410.0200
Espace région de Québec,Advertising,2020/06/16,250.0000
Lico. Impression et emballage,Constituency Mail,2020/06/16,2959.0000
Alain Bilodeau,Janitorial Services and Maintenance,2020/06/17,80.0000
Journal ici l'info,Advertising,2020/06/19,325.0000
Métro Média,Advertising,2020/06/20,385.0000
Kamax Enseignes 2000 inc.,Signage,2020/06/21,1177.0000
Alain Bilodeau,Janitorial Services and Maintenance,2020/06/24,80.0000
"Charlevoisien, Le",Advertising,2020/06/24,425.0000
Bell,Internet (COVID19),2020/06/27,69.9500
Métro Média,Advertising,2020/06/27,241.0000
Radio MF Charlevoix (CIHO FM),Advertising,2020/06/28,730.0000
Luniv'air Atelier Ludovic Gervais,Gifts given as a matter of protocol,2020/06/29,600.0000
Alain Bilodeau,Janitorial Services and Maintenance,2020/07/01,80.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,32.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,158.9200
Vidéotron s.e.n.c,Cable and Internet Fees,2020/07/03,147.9500
Vidéotron s.e.n.c,Cable and Internet Fees,2020/07/03,147.9500
Québecor Média Ventes,Advertising,2020/07/07,520.0000
Alain Bilodeau,Janitorial Services and Maintenance,2020/07/08,80.0000
