"Members – Detailed Contract Expenditures Report – Baker, Yvan – Q2 2021"
Supplier,Description,Date,Total
ROGERS,Cable and Internet,2019/11/07,186.9900
Rogers,Cable and Internet,2019/12/07,161.9900
Rogers,Cable and Internet,2020/01/07,146.9900
Rogers,Cable and Internet,2020/02/07,131.9900
ROGERS,Cable and Internet,2020/03/07,56.9900
Bell,Internet (COVID19),2020/03/08,79.9500
UPS Courier,Courier Services,2020/03/30,33.8100
Rogers,Cable and Internet,2020/04/07,256.9900
UPS Courier,Courier Services,2020/04/07,24.2800
Bell,Internet (COVID19),2020/04/08,85.9500
Star Metroland Media,Advertising,2020/04/19,614.0000
TekSavvy,Internet (COVID19),2020/04/26,58.9500
UPS Courier,Courier Services,2020/04/29,33.6600
Rogers,Cable and Internet,2020/05/07,97.7500
Bell,Internet (COVID19),2020/05/08,85.9500
PRIMECONTACT INC.,Professional Communication Services,2020/05/19,7069.3300
TekSavvy,Internet (COVID19),2020/05/26,58.9500
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,252.7500
Costco,Consumable Items for Constituency Offices (COVID19),2020/06/04,28.9900
Rogers,Cable and Internet,2020/06/07,84.9900
Bell,Internet (COVID19),2020/06/08,85.9500
Canadian Tire,Consumable Items for Constituency Offices (COVID19),2020/06/12,238.8500
Purolator,Courier Services,2020/06/15,37.2800
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
ENBRIDGE GAS DISTRIBUTION INC.,Public Utilities,2020/06/17,41.3800
Rogers,Cable and Internet Fees,2020/06/18,89.9900
Toronto Hydro-Electric Systems Ltd.,Public Utilities,2020/06/19,78.0400
troi Mailing Services,"Householders ",2020/06/22,5325.0000
UPS Courier,Courier Services,2020/06/22,44.9400
TekSavvy,Internet (COVID19),2020/06/26,58.9500
Facebook,Advertising,2020/06/30,828.6400
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,30.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,2.9000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.5300
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,254.7500
Ukrainian Echo,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/02,53.5700
Rogers,Cable and Internet Fees,2020/07/07,84.9900
Capital Stamp Ltd,"Office Supplies, Stationery and Accessories",2020/07/09,89.9500
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,67.2500
House of Commons – Chambre des communes,Householders – Paper Recovery,2020/07/14,30.0400
ENBRIDGE GAS DISTRIBUTION INC.,Public Utilities,2020/07/17,77.6000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,11.3300
Rogers,Cable and Internet Fees,2020/07/18,89.9900
Toronto Hydro-Electric Systems Ltd.,Public Utilities,2020/07/23,133.7900
Facebook,Advertising,2020/07/31,674.9200
790363 ONTARIO LTD,Office Rental and Related Fees,2020/08/01,2536.3600
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,30.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,241.7500
Rogers,Cable and Internet Fees,2020/08/07,84.9900
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.0400
ENBRIDGE GAS DISTRIBUTION INC.,Public Utilities,2020/08/18,68.4600
Rogers,Cable and Internet Fees,2020/08/18,89.9900
Toronto Hydro-Electric Systems Ltd.,Public Utilities,2020/08/20,109.5600
Costco,Consumable Items for Constituency Offices (COVID19),2020/08/23,113.9300
Facebook,Advertising,2020/08/29,1108.0000
Facebook,Advertising,2020/08/31,57.4700
790363 ONTARIO LTD,Office Rental and Related Fees,2020/09/01,2536.3600
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,30.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.0600
Rogers,Cable and Internet Fees,2020/09/07,84.9900
ENBRIDGE GAS DISTRIBUTION INC.,Public Utilities,2020/09/17,78.3600
Rogers,Cable and Internet Fees,2020/09/18,89.9900
Canada Post – Postes Canada,Courier Services,2020/09/23,15.1600
Canada Post – Postes Canada,Courier Services,2020/09/23,57.6800
790363 ONTARIO LTD,Office Rental and Related Fees,2020/10/01,2536.3600
