"Members – Detailed Contract Expenditures Report – Bessette, Lyne – Q2 2021"
Supplier,Description,Date,Total
"Reflet du Lac, Le",Advertising,2019/12/18,778.6000
"Sherbrooke Record, The",Advertising,2019/12/24,300.0000
"Reflet du Lac, Le",Advertising,2020/01/01,470.0000
Internexe,Cable and Internet Fees,2020/01/09,81.6200
AGC Serrurier,"Office Supplies, Stationery and Accessories",2020/01/10,10.0000
canadian tire,"Office Supplies, Stationery and Accessories",2020/01/12,6.9800
Internexe,Cable and Internet Fees,2020/02/01,110.0000
provigo,Cleaning Products,2020/02/24,5.4900
Internexe,Cable and Internet Fees,2020/03/01,110.0000
walmart,Cleaning Products,2020/03/10,7.0000
Cable-Axion Digitel Inc,Cable and Internet Fees,2020/04/01,3.0000
Internexe,Cable and Internet Fees,2020/04/01,110.0000
HYDRO QUÉBEC,Public Utilities,2020/04/03,1305.8200
BELL CANADA,Cable and Internet Fees,2020/04/04,81.7600
videotron,Cable and Internet Fees,2020/04/17,130.8500
videotron,Cable and Internet Fees,2020/04/17,130.8500
Cable-Axion Digitel Inc,Cable and Internet Fees,2020/05/01,3.0000
BELL CANADA,Cable and Internet Fees,2020/05/04,81.4700
plantation univert,Office Plants and Flowers,2020/05/15,40.0000
Précigrafik,"Householders ",2020/05/15,2225.0000
videotron,Cable and Internet Fees,2020/05/15,130.8500
Précigrafik,Professional Communication Services,2020/05/21,105.0000
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,843.2400
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,12.7200
dollarama,"Office Supplies, Stationery and Accessories",2020/05/29,46.5500
wal-mart,"Office Supplies, Stationery and Accessories",2020/05/29,48.0000
wal-mart,Cleaning Products,2020/05/29,60.5600
Cable-Axion Digitel Inc,Cable and Internet Fees,2020/06/01,130.4500
Alarme Top Sécurité,"Security Equipment, Intercom and Alarm System (Central Budget)",2020/06/03,83.0000
BELL CANADA,Cable and Internet Fees,2020/06/04,78.1900
CPC,Office Plants and Flowers,2020/06/05,15.7100
simons,Cleaning Products,2020/06/05,4.9900
wal-mart,Cleaning Products,2020/06/05,10.0000
wal-mart,Office Decor,2020/06/05,35.6400
homesense,"Office Supplies, Stationery and Accessories",2020/06/06,28.9900
walmart,Appliances,2020/06/06,89.9800
wal-mart,Office Decor,2020/06/06,64.9100
Accomodation domon,Cleaning Products,2020/06/07,4.9400
dollarama,"Office Supplies, Stationery and Accessories",2020/06/10,6.0000
canac,Office Plants and Flowers,2020/06/12,8.2500
ikea,"Office Supplies, Stationery and Accessories",2020/06/13,181.7800
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
canac,"Office Supplies, Stationery and Accessories",2020/06/17,24.0900
dollarama,"Office Supplies, Stationery and Accessories",2020/06/17,25.8500
dollarama,"Office Supplies, Stationery and Accessories",2020/06/17,5.0000
Vidéotron s.e.n.c,Cable and Internet Fees,2020/06/19,133.1100
wal-mart,"Office Supplies, Stationery and Accessories",2020/06/20,35.8000
canac,Office Plants and Flowers,2020/06/21,17.9900
canac,"Office Supplies, Stationery and Accessories",2020/06/21,8.6900
wal-mart,Consumable Items for Constituency Offices (COVID19),2020/06/22,7.9700
Précigrafik,Professional Communication Services,2020/06/23,210.0000
GROUPE CAPITALES MEDIAS,Advertising,2020/06/27,395.6700
GROUPE CAPITALES MEDIAS,Advertising,2020/06/27,1356.7500
Journal Le Tour,Advertising,2020/06/29,430.0000
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,150.9900
"Sherbrooke Record, The",Advertising,2020/06/30,700.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,28.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,191.3800
Icimédias Inc.,Advertising,2020/07/01,555.9500
Icimédias Inc.,Advertising,2020/07/01,448.0500
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.5300
Alarme Top Sécurité,"Security Equipment, Intercom and Alarm System (Central Budget)",2020/07/02,299.2800
BELL CANADA,Cable and Internet Fees,2020/07/04,80.8000
GROUPE CAPITALES MEDIAS,Advertising,2020/07/04,150.0000
AGC Serrurier 2010 Inc.,"Security Equipment, Intercom and Alarm System (Central Budget)",2020/07/08,770.1500
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2020/07/10,44.9900
walmart,Cleaning Products,2020/07/12,50.8000
walmart,Office Decor,2020/07/12,67.8800
Apple Canada Inc.,Repair of Telecommunication Equipment,2020/07/13,169.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,86.9800
dollarama,"Office Supplies, Stationery and Accessories",2020/07/16,16.0500
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.0300
dollarama,"Office Supplies, Stationery and Accessories",2020/07/26,23.5500
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,66.4800
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,266.7000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,60.0000
Estridev,Office Rental and Related Fees,2020/08/01,1350.0000
"Groulx, Gilles",Office Rental and Related Fees,2020/08/01,587.0800
"JOHNSTON, PIERRE",Office Rental and Related Fees,2020/08/01,660.0000
walmart,"Office Supplies, Stationery and Accessories",2020/08/01,27.7300
BELL CANADA,Cable and Internet Fees,2020/08/04,81.2500
walmart,Office Decor,2020/08/09,64.9100
walmart,"Office Supplies, Stationery and Accessories",2020/08/12,22.9700
walmart,Office Plants and Flowers,2020/08/12,35.9700
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.0400
Vidéotron s.e.n.c,Cable and Internet Fees,2020/08/14,135.3600
TACT,Research Consultants,2020/08/17,1047.5000
dollarama,Cleaning Products,2020/08/18,9.2500
AGC Serrurier 2010 Inc.,"Security Equipment, Intercom and Alarm System (Central Budget)",2020/08/21,144.0000
walmart,"Office Supplies, Stationery and Accessories",2020/08/22,61.0400
walmart,Office Decor,2020/08/23,11.8800
