"Members – Detailed Contract Expenditures Report – Guilbeault, Steven – Q2 2021"
Supplier,Description,Date,Total
Bureau en Gros,"Printed Matter, Books, Newspapers and Subscriptions",2020/02/17,16.1500
Bureau en Gros,"Printed Matter, Books, Newspapers and Subscriptions",2020/02/18,29.1900
Jean Coutu,"Office Supplies, Stationery and Accessories",2020/03/04,21.5800
Journal El Chasqui Latino inc.,Advertising,2020/04/01,29.4100
The Senior Times,Advertising,2020/04/06,195.0000
Métro Média,Advertising,2020/04/11,72.0000
Radio Humsafar,Advertising,2020/04/13,40.0000
Gosselin,Computer Equipment,2020/04/15,133.9900
The Suburban Newspaper,Advertising,2020/04/16,306.0000
The Suburban Newspaper,Advertising,2020/04/16,125.0000
Amazon,Computer Equipment,2020/04/19,41.9900
"Benkoula, Réda",Advertising,2020/05/01,53.6600
Métro Média,Advertising,2020/05/09,72.0000
Weekly Nawai-Pakistan,Advertising,2020/05/21,35.3000
Choice Communication (Canada) Ltd.,Advertising,2020/05/23,164.7700
Maghreb Canada Express,Advertising,2020/06/01,29.4100
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,46.7500
"PETITE MAISON DE LA MISÉRICORDE, LA",Advertising,2020/06/04,500.0000
CLAN CREATIF INC.,Professional Communication Services,2020/06/10,136.7600
Gosselin,Computer Equipment,2020/06/15,329.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2020/06/17,-39.9900
Desi Times Weekly/Services d'affaires sud asiatiques Sawid,Advertising,2020/06/18,35.2900
CLAN CREATIF INC.,Professional Communication Services,2020/06/19,83.1000
SOCIÉTÉ D'HISTOIRE DU PLATEAU MONT-ROYAL,Advertising,2020/06/23,100.0000
GoDaddy,Web Site Hosting/Domain Name,2020/06/25,70.4700
Métro Média,Advertising,2020/06/27,72.0000
Radio Humsafar,Advertising,2020/06/27,40.0000
The North American Filipino-Star,Advertising,2020/06/29,73.5300
Journal El Chasqui Latino inc.,Advertising,2020/06/30,29.4100
The Suburban Newspaper,Advertising,2020/06/30,129.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,67.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,161.8400
La Presse Chinoise,Advertising,2020/07/01,82.3500
Le Montréal Africain,Advertising,2020/07/01,87.9400
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.5300
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,29.7500
ZigZag Roman-Canadian Inc.,Advertising,2020/07/01,22.5000
Maghreb Canada Express,Advertising,2020/07/07,29.4100
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,0.5100
Jardin Communautaire St-André,Advertising,2020/07/14,250.0000
Annie50,"Office Supplies, Stationery and Accessories",2020/07/20,160.0000
Jeanguy,Consumable Items for Constituency Offices (COVID19),2020/07/20,91.0000
Pizi,Consumable Items for Constituency Offices (COVID19),2020/07/20,67.9600
3091-2703 QUÉBEC INC.,Advertising,2020/08/01,100.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,161.8400
Bell Mobility – Bell Mobilité,Long Distance,2020/08/01,3.4300
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,316.0500
Place Dupuis Commercial Trust,Office Rental and Related Fees,2020/08/01,2870.0800
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,46.7500
WEEKLY NAWA-I-PAKISTAN CANADA,Advertising,2020/08/01,123.6000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.0500
Radio Humsafar,Advertising,2020/08/19,40.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,59.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,161.8400
Bell Mobility – Bell Mobilité,Long Distance,2020/09/01,5.4700
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.0600
Place Dupuis Commercial Trust,Office Rental and Related Fees,2020/09/01,2870.0800
Place Dupuis Commercial Trust,Office Rental and Related Fees,2020/10/01,2870.0800
